sim_id,SiSiSi_epsilon,SiSiSi_sigma,SiSiSi_a,SiSiSi_lambda,SiSiSi_gamma,SiSiSi_costheta0,SiSiSi_A,SiSiSi_B,SiSiSi_p,SiSiSi_q,SiSiSi_tol,reason
sim_id,param,param,param,param,param,param,param,param,param,param,param,reason
0.0,2.10071388479,1.41708051398,1.90965668088,31.8043630258,1.69366114124,-0.3333333333333333,16.4396115814,0.533699801911,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
1.0,2.15536761444,2.04591361469,1.94764096179,31.8424946903,1.7921072015,-0.3333333333333333,18.6241533269,0.596178774574,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
2.0,2.17991513535,2.55456630861,1.86412816149,31.8744415045,1.81387460824,-0.3333333333333333,16.790703591,0.784167765322,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
3.0,2.19099951812,2.87283879925,1.9299519337,30.2142292161,1.86223005364,-0.3333333333333333,11.8230182465,0.625491091077,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
4.0,2.10510489714,2.8729347622,1.73878545877,28.7841337654,1.85873423933,-0.3333333333333333,14.0642889994,0.637749606267,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
5.0,2.11874485887,2.48427106868,1.93674871695,29.5812318122,1.83740414822,-0.3333333333333333,18.6342601985,0.752398133798,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
6.0,2.19576052754,2.57779652124,1.97135630841,20.8704044805,1.75368542458,-0.3333333333333333,16.9183972509,0.711791044124,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
7.0,2.13978997563,2.88929684898,1.93096532347,30.5757314533,1.98999008697,-0.3333333333333333,16.5039526407,0.811208347254,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
8.0,2.16211388964,2.74395775927,1.87976966788,20.6876997763,1.50508716361,-0.3333333333333333,15.4309038973,0.525043673963,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
9.0,2.15318620783,2.4426167902,1.98065964329,25.6370646846,1.54623114737,-0.3333333333333333,17.9295224774,0.93188491576,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
10.0,2.1612812072,2.92489675248,1.82620246455,22.7902036511,1.78921018863,-0.3333333333333333,10.8194933394,0.760037638844,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
11.0,2.12282335108,2.22290495614,1.98529564427,31.2920190771,1.98389910992,-0.3333333333333333,11.9049899917,0.81533653792,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
12.0,2.15100593133,2.94041278738,1.78311719962,24.0586616167,1.73786240184,-0.3333333333333333,18.2706819457,0.538326058121,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
13.0,2.12218030384,2.43378702077,1.8410978163,28.7943215021,1.95203946562,-0.3333333333333333,18.2489862069,0.747271591226,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
14.0,2.1483865321,2.87661789761,1.62135446056,22.2142249636,1.8220576507,-0.3333333333333333,17.8859900502,0.506144364269,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
15.0,2.19427660933,2.15926104574,1.99257378906,25.0097987604,1.7151279541,-0.3333333333333333,18.1891295405,0.982977703611,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
16.0,2.17053775235,2.99162427832,1.88644333949,27.9325812343,1.84315080729,-0.3333333333333333,17.758416251,0.63762205011,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
17.0,2.15551035013,2.78785317634,1.73559964587,29.5160377957,1.53456981376,-0.3333333333333333,19.4214081173,0.600992300243,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
18.0,2.19775903221,1.71058818216,1.92728138525,20.848866772,1.75574201089,-0.3333333333333333,14.2457689208,0.581200057591,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
19.0,2.10994246127,2.89100441248,1.66071860419,27.3242018824,1.77107377907,-0.3333333333333333,13.8289983894,0.510597060252,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
20.0,2.19951989969,1.77438904723,1.97918074049,21.61391072,1.77587533297,-0.3333333333333333,12.0443854414,0.607029017738,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
21.0,2.17100555635,2.77527148915,1.81445425079,25.0827405996,1.66969358032,-0.3333333333333333,19.0068723819,0.685219744147,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
22.0,2.13821967532,1.60076931727,1.90388413355,27.3011319418,1.81371289123,-0.3333333333333333,11.2089955755,0.564982200821,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
23.0,2.17484541793,2.94475305545,1.82106681239,20.9920209884,1.9445093608,-0.3333333333333333,18.5946335338,0.658342198501,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
24.0,2.17923019802,2.63912451886,1.70465412085,29.1825988897,1.8790519761,-0.3333333333333333,17.022776584,0.535687433882,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
25.0,2.12361637521,2.42347248268,1.93284993316,28.3975046606,1.88864406678,-0.3333333333333333,15.9221624358,0.658437503728,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
26.0,2.14295915629,2.64227703304,1.99648535873,28.310191459,1.6013456534,-0.3333333333333333,16.724650666,0.539421502833,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
27.0,2.17307152373,2.37435292323,1.93948309109,26.8002751684,1.95893647077,-0.3333333333333333,19.3264617318,0.926634466557,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
28.0,2.11666747524,2.32199779873,1.83876802945,31.6183324006,1.99802859111,-0.3333333333333333,13.1659311676,0.539535621475,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
29.0,2.10203192187,2.88273309915,1.81184401031,31.4377067353,1.99140021299,-0.3333333333333333,18.2358370323,0.658089765871,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
30.0,2.11440514906,2.64139973313,1.9655614439,22.946560592,1.76944790197,-0.3333333333333333,13.8051458628,0.69432142286,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
31.0,2.14069876008,2.90944386318,1.87051138111,27.865269708,1.8495507338,-0.3333333333333333,16.7495053414,0.676272771089,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
32.0,2.13205539496,2.51388587353,1.98779586827,20.3611096186,1.96520973696,-0.3333333333333333,10.1905208651,0.836195042939,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
33.0,2.17819129628,1.63109193151,1.83445616213,31.0666704704,1.81270768744,-0.3333333333333333,11.9304477827,0.511570974422,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
34.0,2.16060558371,2.5957489893,1.78645815524,23.5473977524,1.90378279541,-0.3333333333333333,18.1136641407,0.545559367174,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
35.0,2.16251534024,2.70214298944,1.92238050881,25.351651277,1.91128391158,-0.3333333333333333,19.0924006373,0.792704400095,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
36.0,2.17122703617,2.70689067839,1.8479894578,31.9569594709,1.68829635859,-0.3333333333333333,19.2963282696,0.517390941056,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
37.0,2.1788393311,2.27019063255,1.89698034114,22.2767392086,1.74618387365,-0.3333333333333333,17.3824288594,0.672363033764,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
38.0,2.16016100803,2.61905406419,1.67299584475,24.5968954515,1.55959341025,-0.3333333333333333,16.2341436711,0.504812329775,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
39.0,2.16656293776,1.58270259852,1.93401908087,20.050831316,1.57750743682,-0.3333333333333333,17.7990071621,0.579491203146,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
40.0,2.13189000705,2.77214726995,1.98368219315,27.5284054726,1.89779741812,-0.3333333333333333,14.4815215825,0.997649645235,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
41.0,2.11713109269,2.82491743633,1.97399834858,26.1877755014,1.87290446729,-0.3333333333333333,11.4172567582,0.770218344796,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
42.0,2.10247953986,2.55127282342,1.77111904707,25.361009732,1.79558051958,-0.3333333333333333,17.9441034734,0.602648835559,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
43.0,2.19934110714,2.27665219031,1.96717254668,24.4151518521,1.86913145345,-0.3333333333333333,14.6622242142,0.743843253993,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
44.0,2.15745518413,2.32410537944,1.90493498798,29.1793043512,1.98613499971,-0.3333333333333333,8.64153448111,0.686278607617,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
45.0,2.19414704499,2.74075956106,1.68368171771,29.2745470364,1.74261530174,-0.3333333333333333,17.6767269519,0.506248293296,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
46.0,2.17354776335,2.97723328993,1.79541844125,30.1497706366,1.86657111754,-0.3333333333333333,19.559254735,0.647469323458,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
47.0,2.11668608029,1.26696728814,1.89447691389,28.2320312124,1.77651406568,-0.3333333333333333,15.5111956293,0.516466429209,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
48.0,2.12197372511,2.37615776906,1.87011981627,28.3801723733,1.76616991084,-0.3333333333333333,18.4896588205,0.591584468813,3.5,0.5,0.0,PypospackTaskManagerError: simulation time exceeded
