sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
25.0,1.537436657091904,3.388027649617422,2.2628254775563943,3.7060331244002134,3.112442153308982,1.4684896058722283,-4.358815435024211,-2.1949111910789525,3.86738686015342,1.1650888089210474,-0.18261313984658
49.0,2.459645398333349,3.9460338255126497,2.8044881776281096,3.715404717498391,5.454295370414307,2.587864624536426,-4.865476951355741,-3.8348824700506,4.17667339100959,-0.47488247005060025,0.1266733910095903
140.0,1.3842402984428237,5.962451807415283,2.3790668296449384,1.0363199151897438,3.6309959549475774,2.5553656166159424,-1.7310792545270122,-3.516567287798575,3.76137369994047,-0.1565672877985751,-0.28862630005952994
223.0,2.2629532284578673,6.288520926564797,2.1371395548526824,2.74225958858304,2.4643037046105785,1.1244878055946326,-3.7986008134443203,-2.8587734210857,3.67802259944885,0.5012265789143,-0.3719774005511498
225.0,3.848172380734822,5.57412854269843,2.1517369377881064,3.6590771021253348,2.9350854232653587,2.7135161907190946,-0.8826662113941763,-5.087421315124125,3.68080315949878,-1.7274213151241251,-0.3691968405012198
249.0,3.6333989439148984,4.521775890701657,2.0100572451673013,1.52135208269542,2.1057129005529784,1.1047617212612497,-3.350722723041942,-1.802808652629665,3.96714429433544,1.557191347370335,-0.08285570566456002
252.0,1.4025070023424324,4.86459360689536,2.4445330417284254,2.737091610343455,4.434727346098493,2.744909117148069,-1.1187864057246273,-4.90352227796405,3.66505013737093,-1.5435222779640498,-0.3849498626290697
298.0,3.381467382049153,5.938266708116135,2.385418926386344,1.893154464213164,3.297073734011957,1.701295642435554,-3.8036828055130627,-1.6142983365215076,4.20043503523138,1.7457016634784923,0.15043503523138035
373.0,2.184972735984055,6.898937071684914,2.4898515003919344,2.107944343175281,5.853256871630794,3.348986600741444,-0.24273830554703135,-5.139723220623875,3.77566610677027,-1.779723220623875,-0.2743338932297297
449.0,0.9081613118596065,3.8828368317261406,2.5891371291456986,1.341785884851241,4.278361038007201,2.977362958737541,-0.8726589531215554,-2.78877786066555,3.83439308834251,0.5712221393344499,-0.21560691165748969
455.0,3.408237776740975,6.818123326826887,2.4679910267631837,3.047603806392245,5.728283930051013,2.21990789521126,-3.0769343304422825,-1.5946684501347825,4.08902445083245,1.7653315498652173,0.039024450832449986
545.0,2.3618817077618814,4.371229318441259,2.334979804019351,3.4186761836201383,2.275319234444341,2.2665986015758253,-1.965294361501949,-5.049290887905525,3.95211455916637,-1.6892908879055253,-0.09788544083362982
548.0,2.3799362807195443,6.879101662045585,2.6866949717173245,3.926385033184488,2.7031874247199577,2.624760625377581,-1.2025881545956607,-3.502527560712925,4.37109332656216,-0.14252756071292527,0.32109332656215983
649.0,1.556331601084577,6.129325027062584,2.462496112811483,3.5477864967405965,3.5856154728019205,2.101246741748708,-1.430656191032286,-1.597043328020795,4.09116709567959,1.762956671979205,0.041167095679590204
696.0,2.197283835825541,4.038635185075119,1.9299762918919678,2.3994926064937103,2.4163488835575375,1.6550100708624216,-1.883406678361161,-2.411756766589495,3.60333307001043,0.9482432334105049,-0.4466669299895698
780.0,0.36770123239243846,3.517668680503221,2.5762413476820383,2.8644505767652597,4.335616690648016,1.6722648874276551,-4.392070167088025,-1.4032860925522,3.64484836106587,1.9567139074478,-0.40515163893412964
815.0,2.0144731228884485,6.050713118774983,2.6716772878977153,2.3619627896989144,3.9712221924227036,2.841558573849265,-0.9095740503760315,-2.0022191105146576,4.3650667497409,1.3577808894853423,0.3150667497409003
824.0,3.9182971557023976,6.808750211097096,2.617267350492934,2.4917929596201245,3.654689617208749,2.109225300837778,-4.613159042309474,-3.2956114527168,4.31578473183034,0.06438854728319976,0.26578473183034035
885.0,3.765263940751428,5.265684264045009,2.4558129377054114,3.839331635212093,5.025891999468731,2.126520441171211,-4.373857802378476,-2.0941332174811524,4.1382924924515,1.2658667825188474,0.08829249245150006
1050.0,1.8706886590932557,4.169211152491805,2.356246382249115,2.174614634415846,2.3875461629927575,2.113715578201965,-2.852256770543746,-4.708585645184975,3.91789377821885,-1.3485856451849751,-0.13210622178114972
1095.0,3.8557260581422557,4.48366183532153,2.299668025474228,2.8585363500393037,4.1606673685831055,1.8808729675974165,-4.29036421871506,-1.4691929077481576,4.16751391694953,1.8908070922518423,0.11751391694953028
1126.0,1.5978287089910888,4.791311490632185,2.321840561022974,2.976910345971531,3.7010856462220394,2.031610193621241,-3.2763471051468827,-4.344262672312,3.65160162757796,-0.9842626723120005,-0.3983983724220397
1152.0,2.2764679025392804,2.0104454787291015,2.1886523944465095,3.5718546914371907,2.29266366462495,1.678084875993148,-3.1377426277257756,-1.892235153187295,4.30979626031722,1.467764846812705,0.2597962603172199
1157.0,2.1980003965769113,6.060776810595758,2.196093881954403,1.560362952919121,2.335383359258876,2.027636910439827,-2.0202692388433796,-3.451568466567925,3.73783343002548,-0.09156846656792528,-0.31216656997451997
1190.0,1.7343197604203644,2.9285975720353603,2.7258791139932748,3.2772939267474683,2.4186214406761857,2.9054987907392054,-1.7229340614380262,-5.014720297747575,4.35866314606589,-1.6547202977475748,0.3086631460658902
1247.0,0.34424352176447554,2.5251315328773805,3.4390622271790408,2.9952358305379185,2.715968290690289,2.2053896233584838,-4.731603753712523,-3.609640240113375,4.46902985076287,-0.24964024011337527,0.41902985076287
1289.0,0.7740158805315053,5.218637122541416,2.5261232420232718,3.1924278300147697,2.229758035797957,3.50137165256297,-0.3134742779635715,-3.1705612653717,4.00931968454672,0.18943873462829997,-0.04068031545327955
1366.0,3.0556408449440404,5.003775360988969,2.3106724890954666,1.4378533122338033,4.092378860156758,2.379052406284673,-1.79626340766101,-1.621336843175775,4.05643942591647,1.7386631568242248,0.006439425916470398
