sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
37.0,0.2644814201694874,6.229628573668469,3.1588941643142125,2.4118460472725047,6.505459867898345,3.2551066862928075,-2.870653862928897,-94.28784978485825,6.36807653696223,-90.92784978485825,2.31807653696223
39.0,0.28981584976917485,6.089491872798464,4.548590371198684,1.0922548133548555,4.103487775283339,4.223837064690253,-4.838031384696091,-12.55452019548715,6.36821964113087,-9.19452019548715,2.31821964113087
26.0,2.4340052122599523,3.5874959001164397,4.270823819780683,2.69534804292228,2.27524683654516,4.158241478822844,-4.4374268268347645,-7.9177686469516,6.36723803926347,-4.557768646951601,2.3172380392634704
104.0,1.5261148918504057,6.901460514737003,4.059278485696774,2.6305807817463562,2.644928877156035,2.669959093819493,-4.158786158882944,-1.2907717868545925,6.36644545619191,2.0692282131454074,2.31644545619191
112.0,0.4796931815523515,2.0348340713029867,4.197447308475022,1.6909432491502576,2.4766863477831245,2.546491139423316,-4.753783476990511,-0.727240337881655,6.36618892439384,2.632759662118345,2.31618892439384
92.0,0.18822197586071798,4.343243159243883,3.2732235365839553,1.3367802356009106,2.798339980605043,1.374458726390751,-0.30743210006007565,-0.008437589652416,6.36573461577875,3.351562410347584,2.3157346157787506
136.0,3.4471365433868133,4.785461423495948,3.6136803221610987,3.808523583691582,3.128379952272378,3.6522735240416444,-0.4906755069052098,-0.539722399826985,6.36553676381447,2.8202776001730148,2.31553676381447
95.0,2.2860924227918784,6.768491664218524,3.9035487325677565,2.7804612690264086,2.9501645173424285,2.472295946171531,-3.570904637437055,-0.677722987184255,6.37001638844445,2.682277012815745,2.32001638844445
137.0,1.0279626413893843,4.980714332849432,3.721364652439061,3.521516129831918,2.7187954528641347,1.4420918214277147,-4.197960065619482,-0.241288981178282,6.36539186014156,3.1187110188217178,2.3153918601415606
111.0,3.9599559558312,6.0443252384995745,3.6340599282766513,2.8505095434076164,3.3565549760150866,2.513536467471904,-2.256032312777801,-0.34080599850557,6.36530603913507,3.01919400149443,2.31530603913507
9.0,1.40123222649642,5.279303397002466,3.209304927828326,3.037896544361131,3.4316894259415993,1.2744180801667335,-1.236901700235547,-0.021125124735401575,6.37031644890005,3.3388748752645983,2.3203164489000505
136.0,1.7191233309461507,1.9152066133811876,2.904905940793415,3.5909472003988663,2.2068404076756702,1.2335548640583214,-3.3472761130186575,-0.21656987585081175,6.37037412516881,3.143430124149188,2.3203741251688106
140.0,3.007666447178015,6.612218963299545,3.782545172816617,1.8804184909413937,4.978523780316114,3.9315308833271487,-1.6731954928240809,-7.467309120100375,6.36448143188381,-4.107309120100375,2.3144814318838103
55.0,2.536736139725204,4.210688611145463,3.80216858256019,3.5587484923067616,2.876437377819342,4.5723396969774,-0.30005059034632264,-1.1884168226073575,6.36428792602384,2.1715831773926424,2.31428792602384
33.0,2.5293518853123693,5.670547780189586,3.7216837916380747,3.7443170122542155,3.062972835774471,1.9335374369752596,-4.894050301410974,-0.4085053923428525,6.37163958648265,2.9514946076571476,2.3216395864826502
107.0,3.9583449956418515,5.658730083074532,3.8734180754749454,3.4107614196889378,3.3879085339349717,3.3221346680737387,-2.7425150868182606,-1.720136965199275,6.36382074162807,1.6398630348007248,2.31382074162807
59.0,3.131020644810827,3.861822040082459,3.9679026144696388,1.3768246739655299,3.097633844788572,3.7846875440543224,-4.171049685920341,-3.102371271400875,6.37193781050232,0.257628728599125,2.3219378105023205
107.0,2.7880272191994444,6.843431010122149,3.4706098187805607,1.7030834851697565,3.9205964927523382,1.8786438067412279,-2.4826442984425814,-0.07144148065911975,6.36356742969562,3.28855851934088,2.3135674296956203
114.0,0.8990041666940876,4.303880385535307,3.2563430605548622,2.492499246413731,2.780812445011526,1.7942491424702411,-0.5694440988856756,-0.039166010176461,6.36324097713171,3.320833989823539,2.31324097713171
53.0,2.9334941226861266,2.3322680381526837,2.6292972596227715,1.9985011528309626,2.3234613872849157,1.650147127827589,-1.92776035999354,-0.13513231501850526,6.37253526361815,3.224867684981495,2.3225352636181498
107.0,3.180867664239536,6.2746589684198915,3.509171186222087,1.2708352118820334,3.020461971388511,2.2453020928313063,-1.1410749182294804,-0.0958150419155345,6.37279877036655,3.2641849580844653,2.32279877036655
57.0,2.50606131305221,6.013908016217776,3.7520325954156,1.1068915879677919,1.9475669769454582,4.445697761605062,-0.2494044011268927,-0.4457393095467425,6.37299829071774,2.9142606904532573,2.3229982907177398
34.0,0.653929390789764,6.227837611764241,4.462904183431812,2.5225603461061006,2.1424751454916984,4.16251288423711,-4.167299586517397,-8.8215573282704,6.3624960446105,-5.4615573282704,2.3124960446105005
133.0,3.6098567803432293,6.604673369076864,4.042175124038145,2.065434581415918,2.3556552923558627,3.3722422578879043,-3.8470232883464464,-2.925613967550275,6.37406679613593,0.43438603244972507,2.32406679613593
104.0,3.390151379973481,6.470073385557822,4.147310338463569,2.6967706084022702,2.3228732238941863,3.789564113775973,-4.176742034599588,-6.0289679306038,6.36147708829134,-2.6689679306038,2.3114770882913405
54.0,0.7405428771195341,3.1483784121485705,4.176586359331134,1.1577729446240477,2.6109492890076895,3.2594407407024923,-4.419499416401777,-1.4878636823283025,6.37531732140939,1.8721363176716974,2.32531732140939
101.0,3.0969744436586586,2.6423707214231786,2.29151955869577,1.233183881344763,2.8441911157487523,2.4633090718990136,-4.1695675288418705,-6.318487361941725,6.35780924180091,-2.958487361941725,2.3078092418009097
90.0,2.320605906067511,3.5867587169208086,2.7837538880319386,1.236988608393178,3.537393362592497,1.4730641670255982,-3.4826522714975368,-0.04305712783727275,6.35763945814751,3.316942872162727,2.30763945814751
139.0,1.3394212608287808,5.950183249182981,4.177737171169397,3.523032496715799,3.302275758516667,3.589165585338684,-2.87892431616518,-2.8892470399398,6.37835682261668,0.47075296006019984,2.32835682261668
37.0,3.1110566041586325,4.396191489396921,2.3416443214112874,2.7911065643105357,6.2810392730017455,2.218861147932911,-4.5549886005061495,-12.865585998908024,6.37907808499006,-9.505585998908025,2.3290780849900603
37.0,2.436234066871209,4.086937956032999,4.2515907788937986,2.7479291619832047,1.9279343570330454,4.226906027256041,-4.354987059344987,-8.90039800025995,6.35640661163894,-5.54039800025995,2.3064066116389403
111.0,0.4445792118096205,6.259981745182606,3.709324570026314,1.940133361413262,3.048944705625396,1.7268009494172032,-1.0132391941390553,-0.04611119612011375,6.37963786954491,3.313888803879886,2.32963786954491
151.0,2.0536357565339,6.380493438780343,3.4006937207546226,2.5790541912603473,2.9842083621373434,1.420979977584705,-0.7644494297486585,-0.02750037921138425,6.37966588209941,3.3324996207886155,2.32966588209941
11.0,3.554305110214997,6.296612039827668,4.347503247046498,2.5802732092358505,2.3898089129533617,4.805767288628437,-4.973072838492512,-23.379558783554025,6.35486999330432,-20.019558783554025,2.3048699933043197
103.0,1.5686979286362108,2.8346568223914086,3.724048601915056,2.521019915204041,2.8424122873452875,2.5652315805393497,-4.98508271813188,-0.792250916441925,6.38088154322396,2.5677490835580747,2.33088154322396
109.0,0.8056090813720487,5.839479373033505,4.393536138541763,3.8988107265106864,2.6509824507283515,3.8325324903641387,-3.83090816452624,-6.48015762057635,6.35449404138947,-3.1201576205763497,2.3044940413894706
100.0,1.8955493285415461,5.4598643548464985,3.9084302067266066,1.7053090141267728,2.7432493410719374,4.280610164435,-0.4696628538979324,-0.9039312863441075,6.38116975367052,2.4560687136558923,2.33116975367052
8.0,1.0638252546919629,5.208425288077201,3.8858135399662057,2.825026752454598,4.780171915079421,3.9762395649770057,-1.1936295468579938,-5.8550817840934,6.35431010096972,-2.4950817840934003,2.3043101009697198
88.0,0.3661734819144174,3.5855248330248317,3.3634935153590786,2.256436761602136,3.994780203760583,1.8836751331640529,-3.003287804773954,-0.08516262767048925,6.3816074304053,3.2748373723295106,2.3316074304053
132.0,3.459314191755279,5.776079958804392,3.915700441462097,2.4460530976895867,3.2367059370025304,3.27104041164916,-3.528939004021301,-1.802140011149005,6.35375633089396,1.557859988850995,2.30375633089396
130.0,1.827899946580991,2.900444546328169,4.195558754916525,1.1687784901240998,3.6135731887133726,4.2070894925349345,-3.4226278055689123,-5.04286464494485,6.38179669697923,-1.6828646449448503,2.3317966969792305
138.0,1.0009233692292958,6.669835606625943,4.044569286153927,2.823173991740057,3.056634438439392,2.5437595898693557,-4.323805403534684,-0.86387710753359,6.35362038917368,2.49612289246641,2.3036203891736804
111.0,0.15877483193131475,5.946951503095464,4.263894033499958,3.773143053743339,3.8642349975972845,3.575147582052022,-0.8312229867686023,-0.9507222625926774,6.35326236165846,2.409277737407322,2.3032623616584598
47.0,3.7396869521594844,5.666117910339444,3.8194109135981984,4.009506004520229,1.2299201393424344,1.4756915978932894,-3.0539041009894743,-1.2932949090981425,6.38244650640585,2.0667050909018574,2.3324465064058506
102.0,0.3259846939364276,6.287428878285984,4.16599914635226,4.1663740647879735,3.6672260317146685,2.699493100970863,-3.5242572616195256,-0.7951020903291125,6.38346180509597,2.5648979096708873,2.33346180509597
29.0,0.9089633047527814,2.7257870826166517,4.795770147219847,3.05092205133432,2.550946862238831,4.228122394620272,-4.901899767023751,-8.8561012755628,6.38421806657155,-5.4961012755628005,2.33421806657155
123.0,1.5618684201281334,3.956725243774459,3.9689119016768717,2.9931788115038276,2.134117814644549,4.6019724720965,-0.5171798140159927,-1.5873434325810125,6.38458151978443,1.7726565674189874,2.3345815197844297
39.0,0.21146217981122675,5.50259857782361,4.358446648348274,3.6183246037169323,3.8258693408720887,3.4943866624208244,-2.067396012854772,-1.887499962586555,6.38463560521904,1.472500037413445,2.33463560521904
113.0,0.5856524998664691,4.655589785006846,3.651076536199727,1.388697873955771,3.687393076628394,2.0219867458343916,-4.819969006907001,-0.16974140956601025,6.35087253006714,3.1902585904339897,2.3008725300671404
81.0,2.7997883571862556,5.873479013047442,3.1136401461246597,3.3422299773533606,4.335464055855489,1.2237746883822165,-4.729845360493922,-0.0407808292739985,6.38568030857176,3.3192191707260013,2.33568030857176
32.0,0.9817365002260553,3.0411854907757356,4.17721456184152,3.3283041160514415,2.7083762587235327,3.0123738208915847,-4.902284661369841,-1.864045966450735,6.38587645539543,1.495954033549265,2.3358764553954305
137.0,3.309412606406592,4.949448861099202,4.19647562035982,1.9493559896588881,3.28945830513887,4.425223365373068,-3.2500482530678036,-9.318293563836125,6.34811783447927,-5.958293563836126,2.29811783447927
40.0,3.4791593599182624,5.332183608815463,3.0051744854450537,3.2693783513385677,3.4361495597738805,1.2895228785267485,-0.9728715654176447,-0.018029288323591675,6.34810765523969,3.3419707116764084,2.29810765523969
66.0,1.8062164463543637,6.838074340615592,3.8552005225677823,2.406207595600298,4.90975796006542,3.474950180070283,-3.6382499337794663,-5.57526220571795,6.34801428216708,-2.21526220571795,2.29801428216708
119.0,1.496716117315425,5.91940590194085,3.7332946746487328,1.4863253214554277,4.359964921155947,2.8494312308454783,-4.517013659246377,-0.8946766871701,6.34749189981167,2.4653233128299,2.2974918998116705
96.0,1.6739290019375783,2.7610614117181838,3.9514174044929717,2.342570059637936,1.9236392598662624,2.9679061934310838,-3.938077677427481,-1.8518947692074126,6.38819978109805,1.5081052307925873,2.3381997810980506
18.0,0.9303834218637868,4.159788551471418,3.895511585886189,2.2236195923363544,2.6785087294491214,2.422506493328121,-4.094022013065727,-0.7003945729747775,6.34707460664121,2.6596054270252223,2.2970746066412104
14.0,1.4042936861579882,5.800862811187194,2.7727265642064762,3.1529920927125454,5.155955953753269,2.5478060595670753,-0.12487230818502315,-0.024571110702600475,6.3465482911518,3.3354288892973996,2.2965482911518
149.0,3.5629777651855905,6.05368320495121,3.9078453545299467,3.497331047760084,1.8707589047901778,2.848195243531658,-2.1652246544315887,-1.490052091181195,6.38931991214796,1.869947908818805,2.3393199121479604
20.0,0.710690660456039,2.813696193808963,3.883509982127672,2.3842091302811346,2.4455236230059674,2.741141026113051,-2.347895993559928,-0.64495911620465,6.34620122852769,2.71504088379535,2.29620122852769
70.0,2.507048855823631,7.210242468979428,4.007981511856893,2.135287844460361,2.0758045225621045,3.8523917422208123,-1.1123508626039105,-1.67015777175181,6.34410015341486,1.68984222824819,2.2941001534148606
13.0,0.053344016825616375,6.832788047667795,3.9780353943546767,1.7540113758025502,6.2718080381915025,3.6938350486202323,-1.4754634686091839,-12.164031826814425,6.34397824528416,-8.804031826814425,2.29397824528416
110.0,2.87304289042214,6.938832100219096,3.9406029550185715,2.285020400234824,3.1487635066994866,2.7988934713421902,-3.877249168523371,-0.9446180297904375,6.39177399439508,2.4153819702095625,2.34177399439508
36.0,1.091147536588877,4.716027056437888,4.411295675868249,3.181682829075735,2.8482474235466735,4.261126568328497,-3.167459875215699,-8.120504925080175,6.34313973545271,-4.760504925080175,2.2931397354527103
110.0,3.912612739334433,3.637976378144512,3.1473935197838077,1.5808361588317834,2.9013436068756624,2.94658805328759,-0.8128852555838435,-0.18608477417364075,6.3929396714629,3.173915225826359,2.3429396714629
141.0,0.24827438452496658,6.039373921930714,4.333902867044486,3.170794284081798,4.62410400803856,4.098152302924878,-1.6901729470277038,-9.922622897156774,6.3421084955838,-6.562622897156775,2.2921084955838005
104.0,1.4881856435962204,3.043634935011374,4.510663170931577,3.3715774338244797,2.4873533560897587,4.7683427192385945,-2.2114237001008235,-9.038389212356124,6.34203959986437,-5.678389212356125,2.2920395998643706
100.0,3.741693057837307,6.370884812101223,4.28390527055656,2.981437200462398,2.1713854822131946,4.381080969264774,-4.96007102620824,-14.001781852659626,6.39380297968696,-10.641781852659626,2.34380297968696
51.0,0.73980510367445,6.712369645319473,4.0152222328929685,2.428063433372558,2.8977632121818884,2.174193478922012,-4.404196960588896,-0.54652181026564,6.34167954684639,2.8134781897343597,2.2916795468463897
140.0,3.3587205536353872,4.875011255563974,3.74615508448464,2.2708723378611806,3.304710705331264,3.5083185262102217,-1.5791389962518259,-1.08183385304615,6.34137431365916,2.2781661469538497,2.2913743136591602
116.0,0.6219194470811914,3.646185881798605,3.7607983890256813,1.3960981883981622,2.7330733757865513,2.689192563889685,-1.8092791072865222,-0.321117408896315,6.34125983137681,3.0388825911036847,2.29125983137681
