sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000000,3.7765263143212637,5.161608858391999,4.221870641400607,3.1778227063384428,5.454693101880302,4.708954460096091,-4.064264595644995,-326.67013160848,7.55456559999966,-323.31013160848,3.50456559999966
00_000001,1.2979881488101592,5.030766755091707,1.8582124608275659,3.796855162207549,2.966923149445338,2.9294747118563764,-0.2761827177543337,-4.6333566225322,2.85722777044776,-1.2733566225322002,-1.1927722295522396
00_000002,2.750026228944386,5.989454494063284,2.769266494661418,2.0571655635972306,2.42364069274113,4.005512278580433,-3.7133891889337924,-66.813774394484,3.89716929981119,-63.453774394484,-0.15283070018880984
00_000003,3.1372503003556718,2.1530090751223927,4.667668997976081,3.923634242268541,6.818827552512086,3.224305870023613,-2.2580213949209975,-9.535597933314074,7.55456559999966,-6.175597933314075,3.50456559999966
00_000004,1.2002589974685052,6.3177248502434376,3.1655728441470523,3.4668030391336595,6.148654744325596,2.18096782080642,-1.2410458380361606,-0.12196332171587725,7.55521647150014,3.238036678284123,3.50521647150014
00_000005,2.5385377838338368,4.054956525197941,4.248653023293389,1.4516409569524804,5.509692416165345,2.478383779712668,-4.137534793371142,-0.5225884244367025,7.55456559999966,2.8374115755632974,3.50456559999966
00_000006,0.06907485607939139,5.842046863652183,2.9333356329115037,2.90435665708779,6.125747758826704,1.487900581571306,-2.95595675895207,-0.03347992557152075,4.97172755350626,3.3265200744284793,0.9217275535062601
00_000007,3.888157880267506,6.118690878803254,2.517139445938815,1.7259056460025515,5.804011203338785,3.3266635325160716,-2.065794011044896,-96.9504720116,3.25344449817631,-93.5904720116,-0.7965555018236898
00_000008,0.5478511107761572,2.801470033809263,2.9615677086271526,1.2317435507028738,3.1866086061351173,1.660012042149999,-2.8271348044939764,-0.0992808525206085,5.82327786976967,3.2607191474793913,1.7732778697696698
00_000009,1.1443429231288487,5.28499906593942,4.223687225009707,2.5821680199378005,5.638283986016555,4.886045803963338,-0.11359506372783734,-17.761699396961724,7.55456559999966,-14.401699396961725,3.50456559999966
00_000010,3.2146417142546926,3.319164663821621,3.495715341829251,3.920019383638075,4.884816430462412,2.769048128785471,-3.4223044764446855,-1.1596137307136776,7.55456559999966,2.200386269286322,3.50456559999966
00_000011,0.2187407324919018,4.586547570843685,4.961129640395743,2.587009401193607,2.592397291665332,3.787332083093238,-3.7891065444394787,-2.10285001397582,6.92421922920666,1.2571499860241797,2.87421922920666
00_000012,1.8678660062793508,5.112697851253367,4.652230585018286,1.1215138873579735,6.593374418840942,4.730039004189848,-4.487390394544324,-1229.3453283505676,7.55456559999966,-1225.9853283505677,3.50456559999966
00_000013,3.9459959939072315,6.679170049133314,4.849165647874067,2.462466894954702,5.109167350604594,1.1598170198528246,-3.4312790690608685,-0.016876559216603373,7.55456559999966,3.3431234407833963,3.50456559999966
00_000014,2.8488740420200633,3.9149450837865745,1.77518334218105,1.7516725243561244,4.375233449046196,1.627552717252859,-4.3211182565893385,-2.4010698601554177,3.1419680722235,0.9589301398445822,-0.9080319277764999
00_000015,1.2369493604369306,4.726187851125097,1.8590636486936156,2.2529874805496313,2.279205989798429,1.888666504381367,-3.4511400940643773,-18.458977757215525,2.40277713965536,-15.098977757215525,-1.6472228603446397
00_000016,1.4904454694049993,6.11629297229687,2.6185819358241713,3.307670297825386,3.409893474873987,1.4152798417917514,-0.08185569393184444,-0.0043354467623079,5.68443657595342,3.355664553237692,1.63443657595342
00_000017,1.0144479458869702,6.502866592593925,3.6769007833791574,3.0585898057012013,4.401897791454291,2.194764834646143,-2.740352065614345,-0.184026593344059,6.77041755756859,3.175973406655941,2.72041755756859
00_000018,2.4847531746408396,3.2745604030034574,3.9249634342619473,2.1926577013704187,4.488226441831559,4.6852273370326545,-1.3947140325194516,-195.6271568870195,10.2577354034134,-192.2671568870195,6.207735403413401
00_000019,2.4388522006711177,5.3015525019504315,3.4342100519076038,3.3773749683558174,3.973483832745886,1.3826005815764257,-4.846035586135214,-0.06248563185751525,7.55524504464853,3.2975143681424846,3.5052450446485306
00_000020,0.9299663464814377,3.5083563406575777,4.2680749746768605,3.0058653541347553,3.050741624416008,1.4109407106066034,-3.331401824979228,-0.05338934167043275,7.55456559999966,3.306610658329567,3.50456559999966
00_000021,3.909029743991275,4.3779056530197895,4.360760673943172,1.5933290189489946,6.524203219836317,2.275357229254499,-2.7748790260709377,-0.2722438051765675,7.55456559999966,3.087756194823432,3.50456559999966
00_000022,3.5672245374142824,4.151163638729266,4.862442623450199,3.6657887016632564,4.237992555481163,3.9069071439127656,-1.6091788671271194,-4.29104504835615,7.55456559999966,-0.9310450483561499,3.50456559999966
00_000023,0.15395302228178942,2.527453554938501,2.8145187630624258,1.2376794898146368,6.2658658463514385,1.906356060600118,-2.9110341937287334,-0.074112199790276,7.55524848131784,3.285887800209724,3.5052484813178406
00_000024,1.737431672215193,4.928784373769705,3.334867861140524,3.1832112683338445,6.589322306918462,3.10315099815345,-1.6586062258032612,-3.576851182934625,7.55524610624782,-0.2168511829346249,3.50524610624782
00_000025,1.537436657091904,3.388027649617422,2.2628254775563943,3.7060331244002134,3.112442153308982,1.4684896058722283,-4.358815435024211,-2.1949111910789525,3.86738686015342,1.1650888089210474,-0.18261313984658
00_000026,3.3027528197352347,6.832995230402856,3.329433565144753,1.6772715058093222,2.0581772072941877,3.691142822894906,-0.48261367881210493,-1.18320586463327,5.60139575123168,2.17679413536673,1.5513957512316798
