sim_id,chrg_Mg,chrg_O,MgMg_A,MgMg_rho,MgMg_C,MgO_A,MgO_rho,MgO_C,OO_A,OO_rho,OO_C,MgO_fr_a.neb
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi
9837,1.66768155913,-1.66768155913,0.0,0.5,0.0,1248.0823356,0.293822485762,0.0,31778.9957117,0.212502502632,34.6036277069,0.16995000000042637
6993,1.61814101446,-1.61814101446,0.0,0.5,0.0,1169.10574889,0.285525631363,0.0,5328.19415446,0.197938803692,16.6059399876,0.3360499999998865
5378,1.67557694923,-1.67557694923,0.0,0.5,0.0,1405.50211521,0.282257384366,0.0,19860.1058829,0.143671361936,6.84969713079,0.4321999999997388
8221,1.65389423724,-1.65389423724,0.0,0.5,0.0,1300.0678519,0.288744572517,0.0,40472.9144105,0.202420171096,26.2679081719,0.18319999999994252
4537,1.68595133453,-1.68595133453,0.0,0.5,0.0,1257.74769115,0.28905643469,0.0,3064.42109336,0.236064465148,18.7313535189,0.32540000000017244
2424,1.67924051174,-1.67924051174,0.0,0.5,0.0,1306.98043044,0.288034123545,0.0,2032.48006166,0.252585756474,14.8401495582,0.3232500000003711
1902,1.69754800024,-1.69754800024,0.0,0.5,0.0,1340.93810979,0.285979914483,0.0,11096.6994948,0.145827000496,3.24328494634,0.43025000000034197
785,1.62294375895,-1.62294375895,0.0,0.5,0.0,1315.47688947,0.28024601768,0.0,7992.27283476,0.124296175577,7.5002562575,0.3886999999999716
5262,1.695400086,-1.695400086,0.0,0.5,0.0,1303.37543516,0.290482854228,0.0,9936.88636401,0.22003654812,26.9596347598,0.284099999999853
1256,1.66039996869,-1.66039996869,0.0,0.5,0.0,1528.2261267,0.282600919639,0.0,6677.06285722,0.138925130231,8.13419383626,0.5061000000000604
