sim_id,chrg_Mg,chrg_O,MgMg_A,MgMg_rho,MgMg_C,MgO_A,MgO_rho,MgO_C,OO_A,OO_rho,OO_C,MgO_NaCl.a0,MgO_NaCl.c11,MgO_NaCl.c12,MgO_NaCl.c44,MgO_NaCl.B,MgO_NaCl.G,MgO_NaCl.fr_a,MgO_NaCl.fr_c,MgO_NaCl.sch,MgO_NaCl.001s,MgO_NaCl.a0.err,MgO_NaCl.c11.err,MgO_NaCl.c12.err,MgO_NaCl.c44.err,MgO_NaCl.B.err,MgO_NaCl.G.err,MgO_NaCl.fr_a.err,MgO_NaCl.fr_c.err,MgO_NaCl.sch.err,MgO_NaCl.001s.err,MgO_NaCl.a0.err.sq,MgO_NaCl.c11.err.sq,MgO_NaCl.c12.err.sq,MgO_NaCl.c44.err.sq,MgO_NaCl.B.err.sq,MgO_NaCl.G.err.sq,MgO_NaCl.fr_a.err.sq,MgO_NaCl.fr_c.err.sq,MgO_NaCl.sch.err.sq,MgO_NaCl.001s.err.sq,score
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,sqerr,sqerr,sqerr,sqerr,sqerr,sqer,sqerr,sqerr,sqerr,sqerr,score
1430,1.72806568709,-1.72806568709,0.0,0.5,0.0,1286.13494975,0.294485287891,0.0,-1949.84212847,0.111306147669,0.24493363058,4.37673624445,264.353081857,108.333947102,108.678741019,160.340325354,78.0095673773,9.25492904618,8.86718050925,5.53140010426,0.0529051757457,0.130736244446,-12.6469181429,16.6639471025,-35.3312589809,6.890325354,-14.6504326227,-1.72307095382,-0.118819490753,0.464400104262,-0.00304482425426,0.0170919656118,159.944538513,277.687133035,1248.29786118,47.476583484,214.635176032,2.9689735119,0.0141180713828,0.215667456839,9.27095473933e-06,9.0
2000,1.67924051174,-1.67924051174,0.0,0.5,0.0,1306.98043044,0.288034123545,0.0,2032.48006166,0.252585756474,14.8401495582,4.32198834091,265.560394569,105.611665179,107.2763289,158.927908309,79.9743646952,9.5183100436,8.98794087528,5.49940524176,0.0554502739577,0.0759883409104,-11.4396054307,13.9416651788,-36.7336710996,5.47790830897,-12.6856353048,-1.4596899564,0.00194087527995,0.43240524176,-0.000499726042261,0.00577422795432,130.86457241,194.370027958,1349.36259245,30.0074794415,160.925343086,2.13069476882,3.76699685232e-06,0.186974293102,2.49726117314e-07,9.0
2852,1.75523886803,-1.75523886803,0.0,0.5,0.0,1228.47423722,0.297497233483,0.0,17593.1282523,0.0459552701448,-3.98494810356,4.37230071052,265.977027519,115.254224579,114.211512921,165.495158892,75.36140147,9.34576100528,8.90002660553,5.50848254963,0.0528910423846,0.126300710519,-11.0229724811,23.584224579,-29.7984870792,12.0451588923,-17.29859853,-1.63223899472,-0.0859733944741,0.441482549631,-0.00305895761541,0.0159518694776,121.505922319,556.215648993,887.949832209,145.085852741,299.241511102,2.66420413588,0.0073914245574,0.194906841629,9.35722169287e-06,9.0
3349,1.71231478215,-1.71231478215,0.0,0.5,0.0,1096.19417417,0.299199371745,0.0,29031.6975877,0.207916475795,30.1642613256,4.33221875389,261.257048764,109.138396272,108.096890331,159.844613769,76.0593262462,9.8496815148,8.96574075784,5.52980423853,0.0577957508911,0.0862187538914,-15.7429512357,17.4683962718,-35.9131096693,6.39461376929,-16.6006737538,-1.1283184852,-0.0202592421607,0.462804238528,0.00184575089107,0.00743367352259,247.84051361,305.144868309,1289.75144612,40.8910852584,275.58236908,1.27310260404,0.000410436892926,0.214187763199,3.40679635189e-06,9.0
3626,1.68595133453,-1.68595133453,0.0,0.5,0.0,1257.74769115,0.28905643469,0.0,3064.42109336,0.236064465148,18.7313535189,4.29329701077,278.715267034,109.862591381,111.987193927,166.146816599,84.4263378264,9.45884076523,8.77176937208,5.57244697479,0.0573921220949,0.0472970107687,1.71526703381,18.1925913811,-32.0228060731,12.6968165986,-8.23366217362,-1.51915923477,-0.214230627919,0.505446974792,0.0014421220949,0.00223700722765,2.94214099728,330.97038116,1025.4601088,161.209151738,67.7931927893,2.30784478059,0.0458947619386,0.255476644326,2.0797161366e-06,9.0
3765,1.65250113998,-1.65250113998,0.0,0.5,0.0,1258.73240677,0.29108629217,0.0,17246.1168689,0.215911594805,14.5257811102,4.37524321467,263.303665232,111.723565776,111.840956737,162.250265595,75.7900497282,9.51857302028,8.60502890913,5.29596129467,0.0521371645048,0.129243214671,-13.6963347679,20.0535657758,-32.1690432631,8.80026559457,-16.8699502718,-1.45942697972,-0.380971090868,0.22896129467,-0.00381283549515,0.0167038085385,187.589586074,402.145500324,1034.84734446,77.444674535,284.595222173,2.12992710913,0.145138972077,0.052423274457,1.45377145131e-05,9.0
3928,1.61329364045,-1.61329364045,0.0,0.5,0.0,1406.20939032,0.274080789205,0.0,5791.25151555,0.250775849867,23.000151056,4.2223833616,263.585403808,113.490140115,122.403430334,163.521894679,75.0476318465,10.3347129202,8.48178953735,5.33873066024,0.0585359592546,-0.0236166384023,-13.4145961922,21.8201401149,-21.6065696656,10.0718946792,-17.6123681535,-0.643287079773,-0.504210462653,0.271730660237,0.00258595925458,0.000557745609425,179.951391,476.118514634,466.843852714,101.443062429,310.195511974,0.413818267003,0.254228190649,0.0738375517128,6.68718526635e-06,10.0
4406,1.73321713074,-1.73321713074,0.0,0.5,0.0,1083.90669696,0.298123920531,0.0,18300.5561748,0.0254030600956,12.1940363574,4.2820377048,268.738486055,112.24374774,115.551527534,164.408660512,78.2473691571,8.93522530524,8.77816228106,5.44688970823,0.0564137350224,0.0360377047961,-8.26151394533,20.5737477404,-28.4584724655,10.9586605118,-14.4126308429,-2.04277469476,-0.207837718939,0.379889708228,0.000463735022355,0.00129871616697,68.2526126689,423.279096086,809.88465507,120.092240213,207.723927814,4.17292845355,0.0431965174138,0.144316190418,2.15050170959e-07,9.0
4456,1.68833359401,-1.68833359401,0.0,0.5,0.0,1283.09598894,0.291748606544,0.0,35023.5154313,0.211695767938,14.8159084333,4.37948003356,266.890301276,112.163974712,112.041554359,163.7394169,77.3631632822,10.3052508485,8.81849942167,5.46086027873,0.0540995720311,0.133480033558,-10.1096987238,20.4939747118,-31.9684456409,10.2894168999,-15.2968367178,-0.672749151507,-0.167500578327,0.393860278733,-0.00185042796887,0.0178169193586,102.206008286,420.002999488,1021.9815167,105.87210014,233.993213571,0.452591420853,0.0280564437399,0.155125919164,3.42408366798e-06,9.0
4748,1.69594836341,-1.69594836341,0.0,0.5,0.0,1083.67939546,0.291491987259,0.0,-4387.20826265,0.168190924539,11.1041083809,4.20243030102,263.208462537,111.63802847,115.555747954,162.161506492,75.7852170335,8.76679668347,8.6410552456,5.3745139158,0.0576696107572,-0.0435696989841,-13.7915374634,19.9680284696,-28.4542520458,8.71150649197,-16.8747829665,-2.21120331653,-0.344944754398,0.307513915795,0.00171961075721,0.00189831866957,190.206505604,398.722160963,809.644459486,75.8903453596,284.758300166,4.88942010703,0.118986883587,0.0945648084076,2.95706115631e-06,9.0
5030,1.60689261079,-1.60689261079,0.0,0.5,0.0,1304.9950827,0.286007191063,0.0,15529.9154038,0.227815466394,40.8000782832,4.34348344012,267.08091544,103.471232875,102.825099545,158.00779373,81.8048412826,9.85011375354,8.58763317958,5.43642739544,0.056715770674,0.0974834401178,-9.91908455993,11.8012328749,-41.1849004555,4.55779372995,-10.8551587174,-1.12788624646,-0.398366820425,0.369427395439,0.00076577067403,0.0095030210972,98.388238507,139.269097368,1696.19602553,20.7734836848,117.83447078,1.27212738495,0.158696123616,0.136476600501,5.86404725204e-07,9.0
5148,1.780028401,-1.780028401,0.0,0.5,0.0,1067.18945764,0.302666003724,0.0,24096.8890554,0.18565639848,14.6329608666,4.30504497809,261.432059174,115.472562963,118.34454553,164.125728367,72.9797481055,9.47620201524,9.02854182181,5.59830693703,0.0579695788003,0.059044978092,-15.5679408257,23.8025629633,-25.66545447,10.675728367,-19.6802518945,-1.50179798476,0.0425418218059,0.531306937029,0.00201957880025,0.00348630943788,242.360781552,566.562003622,658.715553152,113.971176166,387.312314631,2.25539718703,0.00180980660256,0.282287061335,4.07869853042e-06,9.0
5305,1.67193110207,-1.67193110207,0.0,0.5,0.0,1203.21465613,0.295052517468,0.0,10393.1104253,0.235546273211,40.4307652154,4.37770296304,260.081035039,105.380842575,104.857264156,156.947573397,77.350096232,9.89702670757,8.83685530531,5.53613834413,0.0570617063809,0.131702963038,-16.9189649607,13.7108425752,-39.1527358444,3.49757339659,-15.309903768,-1.08097329243,-0.14914469469,0.469138344125,0.0011117063809,0.017345670473,286.251375341,187.987204122,1532.9367241,12.2330196645,234.393153385,1.16850325895,0.0222441399542,0.220090785928,1.23589107733e-06,9.0
6335,1.65389423724,-1.65389423724,0.0,0.5,0.0,1300.0678519,0.288744572517,0.0,40472.9144105,0.202420171096,26.2679081719,4.34351296273,279.022237113,109.879135092,109.081076046,166.260169099,84.5715510107,9.87633519911,8.91840158296,5.54414184843,0.0561702947902,0.097512962727,2.02223711303,18.2091350916,-34.9289239541,12.8101690987,-8.08844898928,-1.10166480089,-0.0675984170381,0.477141848428,0.000220294790166,0.0095087778998,4.08944294132,331.572600784,1220.02972859,164.100432337,65.4230070522,1.21366533352,0.00456954598606,0.227664343521,4.85297945743e-08,9.0
