sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err
00_000000,1.499442050940889,3.428737971008943,3.534819663307088,4.083706071103286,3.1262793548567966,2.8953156816872956,-3.4479237960079527,-2.3769867389881774,5.49448111260219,48380.3848505021,40878.7786997854,16277.0812978675,43379.31408335763,3750.8030753583516,0.11634790273598128,0.00419670266928956,0.00414299144967241,0.0032927273312086834,0.030989792686917372,0.11345562369662732,2.073013261011823,1.9744811126021902,48119.3848505021,40727.7786997854,16145.0812978675,43191.31408335763,3649.8030753583516,-1.4836520972640188,-0.14360329733071042,-0.12135700855032759,-0.1481072726687913,-0.09901020731308263,-1.6865443763033727
00_000001,2.7189075185881633,4.394811390871728,3.0976717351633205,3.463400317132889,2.6136441308384373,1.786845720193095,-4.0483058758735435,-0.876239355352165,5.44392051113581,57457.3114000261,44921.0748501122,22408.45660869,49099.82036675016,6268.118274956949,0.18018477548595513,0.005001340855373509,0.0057307545045144435,0.004073488916882064,0.052381348288660035,0.17420711909961373,3.573760644647835,1.9239205111358104,57196.3114000261,44770.0748501122,22276.45660869,48911.82036675016,6167.118274956949,-1.419815224514045,-0.14279865914462647,-0.11976924549548555,-0.14732651108311795,-0.07761865171133997,-1.6257928809003863
00_000002,3.1371042258898667,6.228182208267743,3.469669364910084,3.835398829157087,2.5622414477459716,3.5172017143444063,-2.069323729085138,-5.5310838379162,5.39403784014302,4001222.17702866,2811476.4055252,1721153.14608923,3208058.3293596865,594872.8857517301,1.72724995649844,0.045554451530707536,0.05240202216635426,0.03770060537964825,0.5099341327934503,1.5668931043106,-1.0810838379162,1.87403784014302,4000961.17702866,2811325.4055252,1721021.14608923,3207870.3293596865,594771.8857517301,0.12724995649843995,-0.10224554846929246,-0.07309797783364574,-0.11369939462035175,0.37993413279345034,-0.23310689568940002
00_000003,2.995957999376359,3.011513439707437,2.678791528507002,1.662862870337277,2.6504031104358683,3.1173229527396464,-0.6905710841908278,-0.576535047769675,5.33080517195363,3719.53531643376,3250.151118543,1129.32014965319,3406.6125178399197,234.69209894537994,0.039178889249427584,0.00142682391488888,0.0014494372067285907,0.0011245937918547622,0.00825886047914004,0.03901274158860246,3.873464952230325,1.8108051719536298,3458.53531643376,3099.151118543,997.3201496531899,3218.6125178399197,133.69209894537994,-1.5608211107505725,-0.1463731760851111,-0.12405056279327141,-0.15027540620814525,-0.12174113952085996,-1.7609872584113977
00_000004,1.6912182938361555,3.5104319101278256,3.5083093916926678,2.2807955525808534,3.1036028081038927,3.4082873696984293,-3.033640182108096,-4.726204524784425,5.2706800877054,55927.615749836,46952.7956251055,19045.4956407639,49944.402333349,4487.410062365248,0.3540773522014433,0.012737696108565962,0.013205526054346196,0.0100895128970056,0.07542404557606996,0.3478432213538625,-0.2762045247844247,1.7506800877053998,55666.615749836,46801.7956251055,18913.4956407639,49756.402333349,4386.410062365248,-1.2459226477985568,-0.13506230389143403,-0.11229447394565381,-0.1413104871029944,-0.05457595442393004,-1.4521567786461376
00_000005,2.225783905437474,2.1250470520891005,3.015484189368689,3.8260870584413453,1.7415231167746756,2.946649745987641,-1.6472344709513167,-2.20086984862703,5.22127296533307,2696.00481344387,2505.41822807863,567.062274642089,2568.947089867043,95.29329268261995,0.17092398614320814,0.006384672524790241,0.006534843816873731,0.00503417337294657,0.024985605675269973,0.17580497245631754,2.2491301513729702,1.7012729653330703,2435.00481344387,2354.41822807863,435.06227464208905,2380.947089867043,-5.706707317380051,-1.429076013856792,-0.14141532747520974,-0.11896515618312627,-0.14636582662705344,-0.10501439432473003,-1.6241950275436825
00_000006,2.443526303430741,5.05216779765,3.2654833112329773,3.115006969962169,4.163281062036778,2.9520067750236643,-3.765155834350046,-3.4925299919144,5.14979245272427,231052.320700884,173299.243199825,93712.4351717932,192550.26903351131,28876.538750529508,0.39557243892977567,0.012860658552434458,0.01446331474243663,0.010415923564648011,0.09650588755398015,0.3746459881001125,0.9574700080856,1.6297924527242702,230791.320700884,173148.243199825,93580.4351717932,192362.26903351131,28775.538750529508,-1.2044275610702244,-0.13493934144756553,-0.11103668525756337,-0.140984076435352,-0.03349411244601985,-1.4253540118998875
00_000007,2.5962477650294953,6.512747201559791,3.2076545422497045,3.947549313885129,3.2792632886810797,2.701885750669933,-2.835648479319309,-2.9883959855474,5.10027134819318,863860.230004787,599211.311745643,374563.539961423,687427.6178320243,132324.45912957197,0.9150459513347755,0.026964690169110243,0.030765455108208037,0.022329762195927402,0.2240639504316797,0.8223376956309747,1.4616040144526004,1.5802713481931803,863599.230004787,599060.311745643,374431.539961423,687239.6178320243,132223.45912957197,-0.6849540486652246,-0.12083530983088975,-0.09473454489179196,-0.12907023780407262,0.0940639504316797,-0.9776623043690253
00_000008,2.766853515010341,4.00014849950848,2.739515455418984,3.607829943468994,3.1641187274879266,2.4120887030880906,-1.399538880379005,-0.817364986229085,5.03403104555864,8904.14631515741,7179.23286482691,3285.73358154188,7754.204014937077,862.4567251652497,0.11923599170810917,0.004108372843778381,0.004526598352566483,0.003315643768552343,0.021473695601280096,0.11543170200726505,3.632635013770915,1.51403104555864,8643.14631515741,7028.23286482691,3153.73358154188,7566.204014937077,761.4567251652497,-1.480764008291891,-0.1436916271562216,-0.12097340164743352,-0.14808435623144767,-0.10852630439871991,-1.684568297992735
00_000009,1.6024105664441293,3.2076543605642254,2.783422987253967,3.094644141863292,2.1889345148480004,3.2065106255496,-0.5526352232727905,-1.2170329815874774,4.97260352835553,3226.11242099665,2763.08000227436,1052.50996841163,2917.4241418484567,231.516209361145,0.22208971161407476,0.0075985399930109665,0.008364343256484396,0.0061575242584987686,0.028211805228647524,0.2170102200263575,3.2329670184125225,1.4526035283555303,2965.11242099665,2612.08000227436,920.5099684116301,2729.4241418484567,130.516209361145,-1.3779102883859253,-0.14020146000698902,-0.1171356567435156,-0.14524247574150123,-0.10178819477135248,-1.5829897799736425
00_000010,2.4153605885721783,7.421273487101791,3.1884818135039334,1.3224551241877525,4.369198175990633,4.17381664348515,-0.32469352457186984,-4.388233948809375,4.91827092135628,1711466.83599949,1145829.93550301,757244.532174743,1334375.5690018367,282818.45024824,1.135752165456097,0.03597698669883803,0.04145838058417409,0.0298213261791766,0.2900411019932898,1.0068925621065246,0.061766051190625504,1.3982709213562798,1711205.83599949,1145678.93550301,757112.532174743,1334187.5690018367,282717.45024824,-0.46424783454390317,-0.11182301330116196,-0.08404161941582591,-0.12157867382082341,0.1600411019932898,-0.7931074378934755
00_000011,1.171726597446937,3.792965949765744,3.321461462521982,3.8563762873119036,2.778063693350289,2.940239910784442,-3.5121879126769593,-6.790742582188125,4.8474524601151,29122.5741200149,23823.3991548419,10469.8996647455,25589.79080989957,2649.5874825864994,1.2475639849873232,0.04465388323468699,0.04921131873668524,0.03625717360476848,0.16451823186582537,1.1961860955593497,-2.340742582188125,1.3274524601151003,28861.5741200149,23672.3991548419,10337.8996647455,25401.79080989957,2548.5874825864994,-0.35243601501267685,-0.10314611676531299,-0.07628868126331476,-0.11514282639523152,0.034518231865825366,-0.6038139044406503
00_000012,3.6763014949747133,2.3877561766643067,2.6591383343721584,2.8579396968979847,1.8844140181835045,3.3220233335046925,-1.532840659388536,-3.884877615742675,4.7981168701947,2447.4802474957,2238.57693350874,590.147916917465,2308.211371504393,104.45165699348013,0.46364708907520935,0.0185655906228028,0.019663294761183055,0.014838855344367616,0.028361244728469792,0.4656104031087249,0.5651223842573252,1.2781168701946997,2186.4802474957,2087.57693350874,458.14791691746495,2120.211371504393,3.451656993480128,-1.1363529109247907,-0.12923440937719718,-0.10583670523881694,-0.1365611446556324,-0.10163875527153021,-1.3343895968912751
00_000013,3.3266464421687485,3.9140719105545028,2.4448011982994,3.771387699387539,3.0905918719358496,3.38735926628691,-0.19933366954338894,-0.8033087376520425,4.73438152477567,3076.04502649046,2498.43158726581,1110.03643569859,2690.969400340693,288.80671961232497,0.12874639327245063,0.004939989635959916,0.005397654471343534,0.003998656488794527,0.015972706597322417,0.12308282629464495,3.6466912623479577,1.21438152477567,2815.04502649046,2347.43158726581,978.0364356985899,2502.969400340693,187.80671961232497,-1.4712536067275495,-0.14286001036404006,-0.12010234552865647,-0.14740134351120548,-0.11402729340267759,-1.676917173705355
00_000014,3.2975732514111264,4.145123489267645,2.5026926475735163,3.5860755185392614,3.7860631030458096,1.9542093051356986,-3.0297947822399856,-0.83076651139864,4.67407550793429,4139.72574449144,3333.4382105153,1491.39363800079,3602.2007218406798,403.1437669880702,0.06681611658947872,0.0029780074003825812,0.003026135213259702,0.002373216708521643,0.008920241422819997,0.062297499112576205,3.61923348860136,1.1540755079342904,3878.7257444914403,3182.4382105153,1359.39363800079,3414.2007218406798,302.1437669880702,-1.5331838834105214,-0.1448219925996174,-0.1224738647867403,-0.14902678329147837,-0.12107975857718001,-1.7377025008874238
00_000015,0.5765681550011496,2.6333927948151774,2.48524313806838,3.304709917776804,2.043044356579694,1.505245215380628,-1.0024912963624977,-0.53021214293106,4.61191778615484,288.851723197149,259.471885650419,77.1941009722814,269.2651648326623,14.689918773365008,0.07506842861651819,0.003139522216161816,0.003352068913946994,0.0025204067457612945,0.003219281113990058,0.07459742266828373,3.91978785706894,1.09191778615484,27.851723197149,108.47188565041898,-54.805899027718596,81.26516483266232,-86.31008122663499,-1.524931571383482,-0.14466047778383817,-0.12214793108605301,-0.14887959325423872,-0.12678071888600995,-1.7254025773317163
00_000016,2.9609547898837985,4.328964184542688,2.647742806233257,1.3817737309951699,2.6284942040511705,2.21242024229762,-4.370101876218744,-2.996712312186575,4.55120344105024,7974.86235005781,6244.96807996184,3076.43686264386,6821.599503327164,864.9471350479848,0.7965972156774797,0.03040923538968928,0.03357779258655544,0.025002126698392604,0.07861021389315992,0.7386063330275872,1.4532876878134253,1.03120344105024,7713.86235005781,6093.96807996184,2944.43686264386,6633.599503327164,763.9471350479848,-0.8034027843225204,-0.1173907646103107,-0.09192220741344456,-0.1263978733016074,-0.051389786106840085,-1.0613936669724129
00_000017,3.0266322244234036,4.558182328554795,2.6406859943893366,2.5686650053161286,2.3021981471444195,2.1335139764631132,-3.558912164219614,-3.929476913484175,4.48873646141674,9120.86619995534,7017.05251503736,3618.81995230232,7718.323743343353,1051.9068424589905,1.2256791405297918,0.04695574989414729,0.05173709653690286,0.03888346244770248,0.10658542830976003,1.119240575510775,0.520523086515825,0.9687364614167397,8859.86619995534,6866.05251503736,3486.81995230232,7530.323743343353,950.9068424589905,-0.3743208594702083,-0.1008442501058527,-0.07376290346309713,-0.11251653755229753,-0.02341457169023997,-0.680759424489225
00_000018,0.46028720817074487,6.445109754282903,2.7731166653807184,2.058335709716647,3.263654102342404,3.7513750846346046,-0.08216441250950268,-0.8281138540857075,4.41166974398642,8555.03807002679,5941.54101004824,3690.4106243227,6812.706696707758,1306.748529989275,0.2756064341038069,0.010790871769499024,0.012057576266648017,0.008970493619963028,0.04229636629350253,0.2465466450584637,3.6218861459142926,0.8916697439864198,8294.03807002679,5790.54101004824,3558.4106243227,6624.706696707758,1205.748529989275,-1.3243935658961932,-0.13700912823050096,-0.11344242373335198,-0.14242950638003699,-0.08770363370649747,-1.5534533549415364
00_000019,2.2963042631754917,5.830060245758572,2.4918002388041414,3.6842638343367957,5.651212780912313,2.131561033684505,-2.1596280607265115,-0.591813954434005,4.34746290898713,5139.5976790227,3785.83386973478,2018.84993628871,4237.088472830753,676.8819046439598,0.018451752533032106,0.0010403972862011446,0.0009634638499245396,0.0008160449300015658,0.0032743578312899313,0.015578417380594956,3.8581860455659953,0.8274629089871302,4878.5976790227,3634.83386973478,1886.84993628871,4049.088472830753,575.8819046439598,-1.581548247466968,-0.14675960271379884,-0.12453653615007546,-0.15058395506999844,-0.12672564216871007,-1.7844215826194052
00_000020,2.2949248594247686,6.74352751985534,2.5795837253364575,3.6197320988197625,3.8044050684548116,2.147238204345243,-1.8885538377246753,-1.652150638231155,4.28442573945322,13553.0685650185,9300.29614996165,5858.68136879237,10717.8869549806,2126.386207528425,0.5120931953535717,0.0214626799547396,0.02411203875190264,0.017822566007435838,0.086516729779615,0.4612108496113414,2.7978493617688454,0.7644257394532201,13292.0685650185,9149.29614996165,5726.68136879237,10529.8869549806,2025.386207528425,-1.0879068046464284,-0.12633732004526038,-0.10138796124809736,-0.13357743399256417,-0.043483270220385006,-1.3387891503886586
00_000021,0.32499471989966133,6.352462315829287,2.7657699412904475,1.9136179627925496,2.26724387701571,2.457505879244225,-0.9798284470941977,-1.9620582868977,4.21822876775713,5437.17317199335,3777.42852899246,2356.22860130344,4330.67674332609,829.8723215004447,0.7599612276548839,0.03191087447968712,0.03520881793069816,0.02697144548734819,0.07527652580092492,0.6744532231042748,2.4879417131023,0.6982287677571297,5176.17317199335,3626.42852899246,2224.22860130344,4142.67674332609,728.8723215004447,-0.8400387723451161,-0.11588912552031286,-0.09029118206930184,-0.12442855451265182,-0.054723474199075084,-1.1255467768957252
00_000022,3.334657078327667,6.414709378137307,2.2038881138617175,1.500924137412588,3.177238075980921,1.3946149051686825,-1.8645921052395273,-0.494085091469885,4.16774355302389,1546.06728400103,1072.05105499597,663.898185163362,1230.0564646643234,237.00811450253002,0.16824247494749756,0.007364872848812691,0.008194624244826199,0.0061668064285263805,0.0221075251221155,0.15103597578433497,3.955914908530115,0.6477435530238904,1285.06728400103,921.0510549959699,531.898185163362,1042.0564646643234,136.00811450253002,-1.4317575250525025,-0.1404351271511873,-0.1173053757551738,-0.14523319357147363,-0.1078924748778845,-1.6489640242156651
00_000023,0.26387758422383034,5.417876920406135,2.5088280058087657,2.014214383796388,2.595786633416786,2.0387411643690863,-0.47457876145264866,-0.5535599050982875,4.10074179570502,597.824126348132,433.328171077301,249.095949372386,488.160156167578,82.24797763541551,0.18873940111625842,0.008552025752751966,0.00944768172803207,0.007221789786153281,0.01680150514913248,0.1713754496427387,3.896440094901713,0.5807417957050203,336.82412634813204,282.328171077301,117.095949372386,300.160156167578,-18.75202236458449,-1.4112605988837417,-0.13924797424724802,-0.11605231827196794,-0.14417821021384672,-0.11319849485086753,-1.6286245503572614
00_000024,0.855137194113154,6.450452596464773,2.698928545810826,2.3399820417072594,3.263128394225888,2.8376980906307527,-1.3620829852473826,-5.100618971691425,4.04776984683572,9455.83292506636,6533.18125000224,4041.78119759009,7507.398475023612,1461.3258375320597,1.7213954477394964,0.08000924862279496,0.08901830894640828,0.06716971200640795,0.21923488451502493,1.5481800091122624,-0.6506189716914248,0.5277698468357204,9194.83292506636,6382.18125000224,3909.78119759009,7319.398475023612,1360.3258375320597,0.12139544773949629,-0.06779075137720503,-0.036481691053591725,-0.08423028799359206,0.08923488451502493,-0.25181999088773765
00_000025,2.022374407279664,6.321417511838044,2.454727724446387,1.7848531396289433,4.121967838202402,2.262099824734604,-2.492806042474233,-2.4516602930134224,3.98972684114695,4234.47812702507,2971.50756451302,1740.92981621026,3392.4977520170364,631.4852812560248,0.6570356593431939,0.03250773550917304,0.036382242152543286,0.02696097722428898,0.09892673998891244,0.6018740922861223,1.9983397069865778,0.46972684114694996,3973.4781270250696,2820.50756451302,1608.92981621026,3204.4977520170364,530.4852812560248,-0.9429643406568062,-0.11529226449082694,-0.08911775784745671,-0.12443902277571103,-0.031073260011087567,-1.1981259077138777
00_000026,1.7692966891945476,6.42482021283011,2.151510045435618,3.4911149979728613,3.6804566119299524,1.188207678211684,-1.8926170434094742,-0.4670122253166825,3.92712903508406,544.401377398754,377.207874448505,227.060442841188,432.939042098588,83.5967514751245,0.14413893249092524,0.0072109728562878336,0.008041843149445737,0.006033153928333453,0.01920257546742199,0.13060407580160877,3.9829877746833176,0.40712903508405995,283.401377398754,226.20787444850498,95.060442841188,244.939042098588,-17.403248524875494,-1.4558610675090748,-0.14058902714371216,-0.11745815685055426,-0.14536684607166656,-0.11079742453257801,-1.6693959241983913
00_000027,2.729744525966938,5.615594077927875,2.4420623572188305,3.1205208085800957,4.722643566878522,3.590804240160035,-0.16790448825212795,-4.614399581564975,3.85377217125198,3583.77158348448,2717.79986799229,1239.69855469255,3006.4571064896863,432.985857746095,0.6830699288493634,0.040002041910118184,0.04358799164546484,0.03258374376898824,0.09534649906227077,0.6403497997973253,-0.16439958156497525,0.3337721712519799,3322.77158348448,2566.79986799229,1107.69855469255,2818.4571064896863,331.985857746095,-0.9169300711506367,-0.1077979580898818,-0.08191200835453516,-0.11881625623101177,-0.03465350093772923,-1.1596502002026747
00_000028,1.6373787135953777,3.0741411277797916,2.001112504578603,3.385050414953182,2.385465357635737,1.6149328264704543,-1.702162478552593,-1.785040584967245,3.78942075383283,172.091400899808,149.4952877998,47.0822314352276,157.02732549980269,11.298056550004006,0.30697951060619744,0.018585217614558752,0.020177952970858223,0.015799869839593996,0.006764605503249976,0.2839626367440826,2.6649594150327554,0.26942075383283015,-88.90859910019199,-1.5047122002000037,-84.9177685647724,-30.972674500197314,-89.701943449996,-1.2930204893938027,-0.12921478238544123,-0.10532204702914177,-0.135600130160406,-0.12323539449675003,-1.5160373632559174
00_000029,1.3834111727146674,7.035092419372154,2.1465136165547585,1.4419962941923172,4.162759968891451,1.186643860219958,-4.479758942828375,-0.649231655914485,3.72009414376794,353.34520644974,239.916296649607,140.761386935262,277.7259332496513,56.714454900066485,0.19550275380318283,0.010937489065806718,0.012236338821927649,0.009136719951546282,0.028423844661145004,0.17702466671883244,3.8007683440855153,0.20009414376793977,92.34520644973998,88.916296649607,8.76138693526201,89.72593324965129,-44.285545099933515,-1.4044972461968173,-0.13686251093419327,-0.11326366117807235,-0.14226328004845373,-0.101576155338855,-1.6229753332811676
00_000030,1.9341764600815994,5.506461344413459,2.023528887593132,2.4968157881170634,4.631989902079065,1.4156709594146948,-3.685379785172742,-0.82253339465974,3.62297218130829,182.413850910234,146.644034122801,45.3871399809055,158.56730638527867,17.8849083937165,0.12214237276607776,0.008117341100818737,0.008800442087483684,0.006635738327015129,0.01438142826509492,0.0,3.62746660534026,0.10297218130829,-78.586149089766,-4.355965877198997,-86.6128600190945,-29.43269361472133,-83.1150916062835,-1.4778576272339223,-0.13968265889918124,-0.11669955791251632,-0.14476426167298487,-0.11561857173490508,-1.8
00_000031,1.6547328744712628,6.612498899172228,2.045347962461147,1.5818589983387277,4.7419993511508505,1.3625249872725405,-4.580162946949587,-0.85710654550136,3.53955633327644,163.187089025905,120.81640352477,45.1777108438702,134.93996535848166,21.185342750567507,0.19940331741612738,0.012841437571951926,0.014318819130170206,0.010623616516205248,0.02819366877606,0.005297842293878752,3.59289345449864,0.019556333276439908,-97.81291097409499,-30.183596475230004,-86.8222891561298,-53.06003464151834,-79.81465724943249,-1.4005966825838727,-0.13495856242804807,-0.1111811808698298,-0.14077638348379476,-0.10180633122394,-1.7947021577061213
00_000032,1.351296085902552,6.129135882151185,3.1581891949976013,3.9787257558687736,4.784740621282592,2.6145814965058003,-1.085261341451035,-0.4515486676795725,5.47499061656428,223961.045497656,158195.034199953,95839.4822439055,180117.03796585402,32883.00564885151,0.021054772167062197,0.0005019719257378395,0.0005773770205585595,0.0004268207750369757,0.00681866450841101,0.015665290659526265,3.998451332320428,1.9549906165642796,223700.045497656,158044.034199953,95707.4822439055,179929.03796585402,32782.00564885151,-1.578945227832938,-0.14729802807426215,-0.12492262297944144,-0.15097317922496303,-0.123181335491589,-1.7843347093404738
00_000033,2.4882392550415275,5.810940087230688,3.359870503264578,3.780262000629639,3.2293887460324053,2.3914239288397003,-4.847576153927575,-1.8942733067458024,5.42417543897687,975183.818495273,699378.026998043,413404.707117553,791313.2908304529,137902.89574861503,0.4595908496558536,0.01230446726124552,0.014271583941946803,0.010123225550046534,0.1408204823126975,0.42520493776423995,2.555726693254198,1.90417543897687,974922.818495273,699227.026998043,413272.707117553,791125.2908304529,137801.89574861503,-1.1404091503441465,-0.13549553273875448,-0.1112284160580532,-0.14127677444995348,0.0108204823126975,-1.37479506223576
00_000034,0.9412729804472465,5.341839070763559,3.314171537179038,3.0702935050557065,2.0849980258355014,1.378314709060982,-3.909958907519898,-0.98658115968135,5.36861259422999,163652.796049416,120397.950099409,68027.1085366493,134816.23208274468,21627.4229750035,0.30072282680043827,0.008064260031412245,0.009188881362132254,0.006660211154377636,0.08222502968323997,0.2759882458271037,3.46341884031865,1.8486125942299902,163391.796049416,120246.950099409,67895.1085366493,134628.23208274468,21526.4229750035,-1.2992771731995618,-0.13973573996858774,-0.11631111863786775,-0.14473978884562236,-0.047774970316760035,-1.5240117541728964
00_000035,0.12175729553124291,6.382706727721546,3.879841220079457,2.8419807256597562,4.196202038604397,3.3305026555256516,-2.2297416752468755,-4.02486679208165,5.30501599125272,2590524.08549786,1807687.53898143,1118526.82483125,2068633.0544869069,391418.27325821493,0.6954004851635887,0.01925024060855232,0.022383779486477403,0.015910392346442124,0.2055576914496804,0.6236799291820003,0.42513320791834985,1.78501599125272,2590263.08549786,1807536.53898143,1118394.82483125,2068445.0544869069,391317.27325821493,-0.9045995148364114,-0.12854975939144767,-0.1031162205135226,-0.1354896076535579,0.07555769144968039,-1.1763200708179997
00_000036,2.2277822464379167,4.548146548112684,3.0888572531580816,4.260212809689356,4.1697787027029936,3.608904071255648,-0.30850814720408404,-1.113628494663225,5.24974025543422,51592.9477900267,40082.7682424337,20055.1140868977,43919.49475829804,5755.089773796499,0.05754892635408737,0.002049862512619662,0.002149304506998513,0.0016304276003238922,0.013949083079175084,0.05462798046100015,3.336371505336775,1.7297402554342196,51331.9477900267,39931.7682424337,19923.1140868977,43731.49475829804,5654.089773796499,-1.5424510736459127,-0.14575013748738033,-0.12335069549300148,-0.14976957239967612,-0.11605091692082492,-1.745372019539
00_000037,1.8098160616942771,3.6894617820698876,2.8799768332749727,2.512212098866804,2.4581122432091727,1.7038891977514155,-3.1574355518289527,-0.776050635451055,5.19915551400163,7925.16143005341,6532.60024506599,2836.34426896146,6996.787306728464,696.2805924937102,0.14431317440659086,0.004491942587109149,0.0050216455132983265,0.00364345435310573,0.028980956077520048,0.140814652181245,3.673949364548945,1.6791555140016299,7664.16143005341,6381.60024506599,2704.34426896146,6808.787306728464,595.2805924937102,-1.4556868255934092,-0.14330805741289085,-0.12047835448670167,-0.14775654564689428,-0.10101904392247996,-1.659185347818755
00_000038,2.005883741009951,5.503864984912043,3.2830325964430696,1.6320908813594333,2.2321041437722347,4.247084786578291,-0.9034264186227573,-4.7485676000257,5.1324651790292,355167.978698015,258855.348700285,148768.183389839,290959.5586995283,48156.314998865,1.5533721359458923,0.04507367811051564,0.05072641523988558,0.037336309260703984,0.33257921271031954,1.403048425262237,-0.2985676000256996,1.6124651790292002,354906.978698015,258704.348700285,148636.183389839,290771.5586995283,48055.314998865,-0.04662786405410779,-0.10272632188948436,-0.07477358476011442,-0.11406369073929602,0.20257921271031953,-0.396951574737763
00_000039,2.711039950538191,4.471889936908033,3.076883294016375,2.4669670378787893,1.7011645162408966,2.6157052935286154,-3.242281403825004,-4.087022834974775,5.06616240287869,56473.4311498701,43879.0301494301,22243.4987654598,48077.16381624343,6297.2005002199985,1.2896928486708816,0.038682994183074915,0.04308859706382731,0.031978476623880876,0.2158523602596749,1.1784127719889996,0.36297716502522537,1.5461624028786898,56212.4311498701,43728.0301494301,22111.4987654598,47889.16381624343,6196.2005002199985,-0.31030715132911846,-0.10911700581692507,-0.08241140293617269,-0.11942152337611914,0.08585236025967491,-0.6215872280110004
00_000040,3.2349877713159274,4.301200499383708,2.749072247633381,1.969572165206894,4.124048437834304,2.688289167500232,-1.5979030781880519,-0.73883150989198,5.01538317258474,13082.6922701672,10390.5234899371,4883.92781311156,11287.913083347134,1346.0843901150492,0.026722359053763967,0.0011864640543764152,0.0010723795082017986,0.0009096074412967485,0.00475099345423502,0.02362616359574876,3.71116849010802,1.4953831725847402,12821.6922701672,10239.5234899371,4751.92781311156,11099.913083347134,1245.0843901150492,-1.5732776409462361,-0.14661353594562357,-0.1244276204917982,-0.15049039255870325,-0.12524900654576498,-1.7763738364042512
00_000041,3.601262571009172,5.72733898652575,2.8802403211654157,2.022860094949449,4.322929344003613,4.744512287122589,-0.02305401030370835,-1.1013319966762276,4.95420928001808,80781.9027498364,58259.0059496462,33927.0849046838,65766.63821637626,11261.448400095102,0.18590681048934243,0.006183874005647769,0.007034246714390352,0.005057734369958933,0.04306054379306756,0.1719808635722414,3.3486680033237723,1.4342092800180803,80520.9027498364,58108.0059496462,33795.0849046838,65578.63821637626,11160.448400095102,-1.4140931895106577,-0.14161612599435222,-0.11846575328560965,-0.14634226563004107,-0.08693945620693244,-1.6280191364277585
00_000042,0.733099880404039,2.4606670686869574,3.399427732655451,1.5080165117741133,2.399480043324016,2.640333915095486,-4.336240612858842,-3.103330117673025,4.89063169222305,3109.82720851899,2854.60365107283,711.35256919529,2939.67817022155,127.61177872308008,0.06808342905668496,0.003762909367514091,0.0026759144098467977,0.002983886766402798,0.004597580014724656,0.053978256246174805,1.3466698823269754,1.3706316922230504,2848.82720851899,2703.60365107283,579.35256919529,2751.67817022155,26.61177872308008,-1.5319165709433151,-0.1440370906324859,-0.1228240855901532,-0.1484161132335972,-0.12540241998527535,-1.7460217437538252
