/home/sullberg/repos/pypospack/examples/Ni__eam__born_exp_fs/pareto_optimization_3.5NN
c2a-s20.ufhpc
Fri Feb 22 14:54:47 EST 2019
PYTHONPATH=/home/sullberg/repos/pypospack:
PYTHON_BIN=/home/sullberg/anaconda3/bin/python
python=/home/sullberg/anaconda3/bin/python
PATH=/apps/mpi/intel/2018.1.163/openmpi/3.1.2/bin:/apps/compilers/gcc/5.2.0/bin:/apps/compilers/intel/2018/1.163/compilers_and_libraries/linux/bin/intel64:/apps/compilers/intel/2018/1.163/debugger/gdb/intel64/bin:/home/sullberg/anaconda3/bin:/opt/slurm/bin:/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/bin:/opt/dell/srvadmin/bin:/home/sullberg/bin
start_time:Fri Feb 22 14:54:49 EST 2019
--------------------------------------------------------------------------------
                         MPI COMMUNICATION INFORMATION                          
--------------------------------------------------------------------------------
mpi_size=64
--------------------------------------------------------------------------------
                             GENERATED RANDOM SEEDS                             
--------------------------------------------------------------------------------

rv_seed=72837206

  rank     iter      seed   
-------- -------- ----------
   0        0      939700705
   0        1     1872895946
   0        2     1173064389
   0        3     1720035500
   0        4      480990005
   0        5     1907488125
   0        6     1925847020
   0        7      667329782
   0        8     1251748423
   0        9     1748797603
   0        10     938499108
   0        11    1293963065
   0        12     672957850
   0        13     495840682
   0        14    1674124706
   0        15    2131114707
   0        16    1340033740
   0        17     640198389
   0        18     468313973
   0        19     132795000
   1        0      949234394
   1        1     1171240367
   1        2      258135241
   1        3     1975887632
   1        4     1995619364
   1        5     1723543225
   1        6     1602327135
   1        7     1432764566
   1        8      355023756
   1        9     1272964373
   1        10     625554006
   1        11     887747110
   1        12    1392542225
   1        13     401500962
   1        14     617637048
   1        15     499472695
   1        16      74270828
   1        17     990948950
   1        18    1109214740
   1        19     672382622
   2        0     1527747290
   2        1     1815053146
   2        2     1834594753
   2        3     1335178401
   2        4     2007218502
   2        5      592329536
   2        6      246562766
   2        7      895212316
   2        8     1823286225
   2        9     1337885001
   2        10     322498010
   2        11    1890025777
   2        12    1064783282
   2        13    2125090765
   2        14    1241299144
   2        15      86108712
   2        16     988844637
   2        17    1858175834
   2        18    1591004234
   2        19     978654472
   3        0      779818550
   3        1      290327864
   3        2      830614878
   3        3      839664537
   3        4     1898560773
   3        5      581491899
   3        6     1511945354
   3        7      835363510
   3        8     1296428450
   3        9     1855165967
   3        10     592744288
   3        11    1692477634
   3        12    2105286400
   3        13    1757242015
   3        14     235920336
   3        15     752313940
   3        16    2023578995
   3        17    1110238731
   3        18    1245532811
   3        19    1402868013
   4        0     1016176344
   4        1       10652543
   4        2     1583351381
   4        3      370308020
   4        4     1725808006
   4        5       31319770
   4        6      198280467
   4        7     1286838250
   4        8     2029223624
   4        9     1959468305
   4        10     141291422
   4        11     687611112
   4        12    2027423742
   4        13    1342494589
   4        14    1021793127
   4        15    1359676177
   4        16     708096153
   4        17    2122721023
   4        18    1655646975
   4        19     870754670
   5        0       84167358
   5        1     1775703669
   5        2      692866526
   5        3      140179346
   5        4     1545728710
   5        5     1987349034
   5        6      846746987
   5        7      367605827
   5        8     1381115453
   5        9     1770767518
