--------------------------------------------------------------------------------
                         MPI COMMUNICATION INFORMATION                          
--------------------------------------------------------------------------------
mpi_size=64
--------------------------------------------------------------------------------
                             GENERATED RANDOM SEEDS                             
--------------------------------------------------------------------------------

rv_seed=1152432222

  rank     iter      seed   
-------- -------- ----------
   0        0     1799323123
   0        1      728033700
   0        2      884756407
   0        3       74801530
   0        4     1294540654
   0        5      260382475
   0        6     1428336211
   0        7     1748135689
   0        8     1861933010
   0        9       52957233
   1        0       21964744
   1        1     1527752993
   1        2      122307629
   1        3     1553571371
   1        4      991713830
   1        5     1280623279
   1        6     1790801578
   1        7      887298224
   1        8     1840692812
   1        9      190558890
   2        0     1424122782
   2        1      394328663
   2        2     1017758846
   2        3     1798348415
   2        4      320432418
   2        5      741414017
   2        6      490017619
   2        7     1465572583
   2        8      231636505
   2        9      114398986
   3        0     1548178386
   3        1     2088287176
   3        2       93125711
   3        3      282131762
   3        4      106362890
   3        5     1232981194
   3        6      486503534
   3        7     1274007815
   3        8     2022632761
   3        9     1234359543
   4        0      873028049
   4        1     1716466657
   4        2      568612005
   4        3     1260749863
   4        4      911423825
   4        5     1912678354
   4        6     2009201179
   4        7      514605945
   4        8     1657127714
   4        9     1351237275
   5        0      335204657
   5        1     1055816105
   5        2     1226534588
   5        3      182011321
   5        4      247264496
   5        5     1600194029
   5        6     1215776328
   5        7     1225493865
   5        8     1437249084
   5        9     1508412565
   6        0      350878773
   6        1      896856142
   6        2      994284476
   6        3     2101847194
   6        4     2113851298
   6        5     1834655578
   6        6     1462255172
   6        7      773428635
   6        8     1888290818
   6        9      294750068
   7        0     1480526354
   7        1     1813781133
   7        2     1736821059
   7        3     2127198222
   7        4      499394690
   7        5      273417696
   7        6      834292911
   7        7     1176246828
   7        8     1679521001
   7        9      378596620
   8        0     1180625876
   8        1     1810531717
   8        2     1724610944
   8        3      707417103
   8        4     1232697416
   8        5     1774486232
   8        6     2105627140
   8        7     1405596490
   8        8      933248896
   8        9     1679893271
   9        0     1900903146
   9        1      614516027
   9        2      358249366
   9        3      727943555
   9        4     1041846550
   9        5      171523452
   9        6     1493924113
   9        7     1882364291
   9        8      678906168
   9        9       68271172
   10       0      794235248
   10       1     1310127414
   10       2     1651073916
   10       3       48878215
   10       4      909703731
   10       5     1862661222
   10       6     1166462918
   10       7      263923969
   10       8     1824879894
   10       9       93542850
   11       0     1680283425
   11       1     1354855737
   11       2     1029889432
   11       3       34253560
   11       4       30718770
   11       5      439548792
   11       6      190059614
   11       7      171373437
   11       8     1160413671
   11       9      313485748
   12       0     1671296268
