sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000000,2.8331457224476937,4.265573425624207,3.0077611188717888,1.0132963216898547,3.4409282727442676,4.3766146155002215,-2.471249729953478,-90.92476828003225,3.82172643313686,-86.47476828003225,0.3017264331368601
00_000001,1.4086140721150382,6.503159804954085,3.0371813321471404,2.401441706882008,6.310561513132191,1.3495421591900243,-2.583528316681152,-0.03285901823150325,6.56671418711878,4.417140981768497,3.04671418711878
00_000002,0.9585036207545685,2.133151164255254,2.491131769167035,3.5712940130693025,6.639292425932446,1.5353636204667356,-4.5027764753662645,-0.1255236707309385,6.56849072323488,4.324476329269062,3.0484907232348797
00_000003,3.36198527236617,4.133714814414291,1.6938141553132122,2.831445814383348,2.737905696403832,1.2145031658390253,-2.2692567308854867,-1.5640720711063225,3.49278202776322,2.8859279288936777,-0.027217972236779797
00_000004,3.191707555616835,3.338394763211237,2.575591174311263,3.9785229685076384,2.7917161255814307,1.342169805278619,-0.7388654622564088,-0.02626643782714975,6.11274858256668,4.423733562172851,2.59274858256668
00_000005,1.5075842401036712,2.3354716357885508,4.470124216204814,1.3510397328323336,4.04262946033888,2.9997089153752787,-4.909350127444591,-1.6907712665815275,6.5656789000001,2.759228733418473,3.0456789000001003
00_000006,1.7912664018335274,2.1538837660174415,4.709679659537302,2.693820913592237,2.180595410245497,4.010390968097068,-2.9377722138413636,-1.7880468192899774,6.551791690863,2.6619531807100225,3.0317916908630003
00_000007,3.569908706860494,3.8250353070164516,2.3718265319747514,1.6500317735158112,3.140459729575502,1.0731119663544488,-1.7820845724225864,-0.03503834005749125,5.70413005920846,4.4149616599425086,2.1841300592084596
00_000008,1.7584033986869887,4.695153314238452,2.1355050600241396,1.0988966087527472,2.362294058997535,2.1348376653737295,-1.5483943440123649,-2.0866355371681626,3.80885177639597,2.3633644628318375,0.28885177639596993
00_000009,0.568902970085615,3.513526787030109,2.177755508820797,3.6820102249641073,3.3762541095848286,2.1527363029015425,-1.2825204532733312,-4.855105919264975,2.9773701667971,-0.4051059192649751,-0.5426298332028998
00_000010,2.793079372325109,3.000178069225943,4.248528237437492,2.063211518393328,3.7099338623156513,1.2348353528436182,-2.7758107234514866,-0.03574707093670725,6.5656789000001,4.414252929063293,3.0456789000001003
00_000011,2.006419750605382,2.841477359284097,4.298598383833534,1.6209754642202534,4.196076903446979,3.388905986058637,-3.5585433874222447,-3.374503348377875,6.5656789000001,1.0754966516221254,3.0456789000001003
00_000012,2.8032622140425887,4.889205855299638,2.202116496482809,2.7948705827694402,5.6773869770570204,2.796644423796237,-0.12001124425764065,-0.16628737988955125,9.23094583270305,4.283712620110449,5.71094583270305
00_000013,2.8523716820081217,6.853244561255058,4.468919819497371,1.2710713425542801,2.416438245789221,2.9725756297998562,-1.0221567156519624,-0.12069959462314175,6.5656789000001,4.329300405376858,3.0456789000001003
00_000014,1.3163345988702309,3.925171702099338,1.33699495413097,2.2107680387186033,2.1720952548651598,1.3077977674521062,-1.9312748597321585,-11.077663329151825,1.53217117425453,-6.627663329151825,-1.98782882574547
00_000015,0.833408095783132,3.659062404907514,2.0647602636033695,1.6218873609246955,6.094486127403765,1.8953048159806656,-1.2904080152510637,-0.07262510964524725,6.56671418178517,4.377374890354753,3.04671418178517
