/home/sullberg/repos/pypospack/examples/Ni__eam__born_exp_fs/preconditioning_3.5NN
c21a-s4.ufhpc
Thu Feb 21 18:08:14 EST 2019
PYTHONPATH=/home/sullberg/repos/pypospack:
PYTHON_BIN=/home/sullberg/anaconda3/bin/python
python=/home/sullberg/anaconda3/bin/python
PATH=/apps/mpi/intel/2018.1.163/openmpi/3.1.2/bin:/apps/compilers/gcc/5.2.0/bin:/apps/compilers/intel/2018/1.163/compilers_and_libraries/linux/bin/intel64:/apps/compilers/intel/2018/1.163/debugger/gdb/intel64/bin:/home/sullberg/anaconda3/bin:/opt/slurm/bin:/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/bin:/opt/dell/srvadmin/bin:/home/sullberg/bin
start_time:Thu Feb 21 18:08:15 EST 2019
--------------------------------------------------------------------------------
                         MPI COMMUNICATION INFORMATION                          
--------------------------------------------------------------------------------
mpi_size=64
--------------------------------------------------------------------------------
                             GENERATED RANDOM SEEDS                             
--------------------------------------------------------------------------------

rv_seed=1152432222

  rank     iter      seed   
-------- -------- ----------
   0        0     1799323123
   0        1      728033700
   0        2      884756407
   0        3       74801530
   0        4     1294540654
   0        5      260382475
   0        6     1428336211
   0        7     1748135689
   0        8     1861933010
   0        9       52957233
   1        0       21964744
   1        1     1527752993
   1        2      122307629
   1        3     1553571371
   1        4      991713830
   1        5     1280623279
   1        6     1790801578
   1        7      887298224
   1        8     1840692812
   1        9      190558890
   2        0     1424122782
   2        1      394328663
   2        2     1017758846
   2        3     1798348415
   2        4      320432418
   2        5      741414017
   2        6      490017619
   2        7     1465572583
   2        8      231636505
   2        9      114398986
   3        0     1548178386
   3        1     2088287176
   3        2       93125711
   3        3      282131762
   3        4      106362890
   3        5     1232981194
   3        6      486503534
   3        7     1274007815
   3        8     2022632761
   3        9     1234359543
   4        0      873028049
   4        1     1716466657
   4        2      568612005
   4        3     1260749863
   4        4      911423825
   4        5     1912678354
   4        6     2009201179
   4        7      514605945
   4        8     1657127714
   4        9     1351237275
   5        0      335204657
   5        1     1055816105
   5        2     1226534588
   5        3      182011321
   5        4      247264496
   5        5     1600194029
   5        6     1215776328
   5        7     1225493865
   5        8     1437249084
   5        9     1508412565
   6        0      350878773
   6        1      896856142
   6        2      994284476
   6        3     2101847194
   6        4     2113851298
   6        5     1834655578
   6        6     1462255172
   6        7      773428635
   6        8     1888290818
   6        9      294750068
   7        0     1480526354
   7        1     1813781133
   7        2     1736821059
   7        3     2127198222
   7        4      499394690
   7        5      273417696
   7        6      834292911
