sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
2.0,3.60669909926,6.7157573733,2.489015869776647,1.23370679721,2.71438412067,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46114406977845,3.5166500898809,-0.011144069778449506,-0.00334991011910013
3.0,1.66641231161,3.31687520317,2.489015869776647,2.79791849328,2.27310214416,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450282484731525,3.5194458145229,-0.0002824847315245904,-0.0005541854771000665
4.0,0.568392292994,3.29616887589,2.489015869776647,1.40481960999,2.1353542966,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450117591012575,3.51917910326956,-0.00011759101257524662,-0.0008208967304401682
5.0,1.87318665519,6.78248095815,2.489015869776647,3.17867276322,4.84977168947,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4753172658405,3.51703164661318,-0.02531726584050009,-0.0029683533868198886
6.0,1.96900625458,6.52069802855,2.489015869776647,2.33986421859,4.01327548457,2.489015869776647,fcc,-4.45,188.0,3.52,-4.462739004151975,3.51816006214129,-0.012739004151974598,-0.0018399378587101722
7.0,1.2744112899,5.78166789802,2.489015869776647,2.73879082102,2.46453436612,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45284532377825,3.5180680298389,-0.0028453237782501972,-0.0019319701610998052
8.0,2.98968623341,3.43715507764,2.489015869776647,3.54633387239,2.35165909971,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450773977175925,3.51954840291336,-0.000773977175924756,-0.0004515970866401098
9.0,0.662059613116,2.94408536114,2.489015869776647,2.0437655836,3.184690046,2.489015869776647,fcc,-4.45,188.0,3.52,-5.30431416557875,5.60808197759608,-0.8543141655787494,2.08808197759608
10.0,0.0559905165924,2.77875133531,2.489015869776647,1.80967449766,2.78391369373,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45146605133925,5.61925027187774,-0.0014660513392499297,2.09925027187774
12.0,2.53552536973,2.21400650406,2.489015869776647,2.27942992965,2.25911896113,2.489015869776647,fcc,-4.45,188.0,3.52,-5.262282005613975,5.47476071342485,-0.8122820056139748,1.9547607134248497
14.0,2.48463738845,4.43021402198,2.489015869776647,3.24030387693,3.86072598717,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45768474302595,3.52078404601748,-0.007684743025949459,0.0007840460174799446
19.0,3.59738344482,2.18541712987,2.489015869776647,3.86662171483,2.02779881444,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4472100376863,3.5205361420434,0.0027899623136997675,0.000536142043400023
21.0,0.520798768428,4.40732618612,2.489015869776647,2.16203687944,2.92612633084,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4506711710055,3.51924235552176,-0.0006711710055000708,-0.000757644478240227
22.0,0.927700956848,3.57770699296,2.489015869776647,3.99169672357,3.07127130183,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450611819034,3.51939881206421,-0.0006118190339998719,-0.0006011879357901151
24.0,3.93261492308,3.65282403724,2.489015869776647,3.46927872522,2.70072377938,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45190206757085,3.52080707753944,-0.0019020675708496526,0.0008070775394402041
26.0,0.118957328839,4.05049348515,2.489015869776647,2.86134672235,3.7536281029,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45027532860465,3.51897912110082,-0.00027532860464951625,-0.001020878899180122
27.0,0.0857718114699,4.61941080018,2.489015869776647,3.88760565824,4.431256339,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450491608121675,3.51907307015124,-0.0004916081216750356,-0.000926929848759972
29.0,1.81465308248,4.9602518683,2.489015869776647,1.26145687577,2.20074629668,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452970242374,3.51806909680367,-0.0029702423739994543,-0.0019309031963299361
31.0,1.18935549091,6.82326208038,2.489015869776647,1.45039882105,4.42022173025,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46136227824475,3.51824591548951,-0.011362278244750001,-0.0017540845104901948
33.0,2.69091694084,4.41215598567,2.489015869776647,2.25046240565,2.90306212546,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45343255325785,3.51952172731039,-0.0034325532578494133,-0.0004782726896102041
35.0,0.166901202847,6.91831232736,2.489015869776647,3.83597388157,5.77271724944,2.489015869776647,fcc,-4.45,188.0,3.52,-4.454964224564675,3.51948479687391,-0.004964224564674602,-0.0005152031260902135
36.0,3.13418671226,6.77287840096,2.489015869776647,2.12034016207,3.50055158975,2.489015869776647,fcc,-4.45,188.0,3.52,-4.464554169260875,3.51671022661821,-0.01455416926087505,-0.003289773381789818
37.0,2.51721713085,5.74829862589,2.489015869776647,2.49029280472,3.37385017807,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4581557292592,3.51946007091923,-0.00815572925920005,-0.0005399290807699408
38.0,1.32390988786,4.86885392716,2.489015869776647,2.55655894188,4.9343488233,2.489015869776647,fcc,-4.45,188.0,3.52,-4.77862234085065,5.91795354124637,-0.3286223408506501,2.39795354124637
40.0,1.50618153982,6.65267029881,2.489015869776647,1.73680112398,2.63759056407,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4544943354851,3.51672481480251,-0.0044943354850994766,-0.003275185197490149
41.0,0.743018420429,4.75743769485,2.489015869776647,1.45757945115,4.44185676424,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45448593827115,3.51960553168029,-0.004485938271149514,-0.0003944683197101284
42.0,2.525824434,6.12427986707,2.489015869776647,3.85224208028,4.12616666625,2.489015869776647,fcc,-4.45,188.0,3.52,-4.466430161236175,3.51824804385233,-0.016430161236175245,-0.0017519561476699863
45.0,3.56201229538,6.61954133912,2.489015869776647,2.45964087072,5.75297194274,2.489015869776647,fcc,-4.45,188.0,3.52,-4.549399936729275,3.51716517465319,-0.09939993672927461,-0.0028348253468100104
49.0,3.22403599974,6.76274736934,2.489015869776647,3.35806402221,4.01442236924,2.489015869776647,fcc,-4.45,188.0,3.52,-4.471962667585825,3.51675184619315,-0.021962667585825102,-0.0032481538068500626
51.0,2.22271815687,6.85225375404,2.489015869776647,3.39776751626,4.64905924899,2.489015869776647,fcc,-4.45,188.0,3.52,-4.47576938485095,3.51690683509084,-0.025769384850949706,-0.0030931649091598956
53.0,1.25216476897,3.29181460408,2.489015869776647,1.90244913942,3.05119976178,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450458769807375,3.51954686186779,-0.00045876980737524775,-0.00045313813220992927
57.0,0.0717995472916,6.43714145307,2.489015869776647,3.26333033632,6.64695128222,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4875832959628,5.84900659180653,-0.037583295962799745,2.32900659180653
59.0,3.6667096314,3.83491658635,2.489015869776647,3.96778005599,2.3630730713,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452231046320475,3.51952359566726,-0.002231046320474661,-0.0004764043327400991
62.0,2.78505864997,6.83229993152,2.489015869776647,1.18778804952,5.91287769827,2.489015869776647,fcc,-4.45,188.0,3.52,-4.54190805643,3.5164766284765,-0.09190805642999944,-0.0035233715234999075
63.0,1.89785400831,6.74118565427,2.489015869776647,3.57392190871,2.19615829192,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45596536457805,3.51665330722529,-0.005965364578050192,-0.003346692774710114
64.0,2.97453054507,5.19624826196,2.489015869776647,3.19078433187,2.10029061625,2.489015869776647,fcc,-4.45,188.0,3.52,-4.455703264680925,3.5180045562082,-0.005703264680924747,-0.0019954437918001666
67.0,0.741330399317,6.59672001574,2.489015869776647,1.44667628119,2.83885468476,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45229417824525,3.51809232046538,-0.0022941782452496895,-0.0019076795346202324
68.0,0.0631466634381,4.39909111305,2.489015869776647,3.77596002489,3.72792665015,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450168428193525,3.51891003858289,-0.0001684281935245835,-0.0010899614171098193
71.0,2.19874485562,6.3128501325,2.489015869776647,1.09260732923,2.17724672988,2.489015869776647,fcc,-4.45,188.0,3.52,-4.456154464538125,3.51667873160682,-0.006154464538124849,-0.0033212683931798104
72.0,1.41506615295,6.26203828424,2.489015869776647,2.33041426859,3.04421342529,2.489015869776647,fcc,-4.45,188.0,3.52,-4.454352777880375,3.51809785099378,-0.004352777880375136,-0.0019021490062200996
73.0,2.22952531165,6.51380222104,2.489015869776647,1.46721027016,2.48675439118,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45632102896345,3.51668029539542,-0.006321028963450104,-0.003319704604579865
74.0,2.07043229871,6.96485546623,2.489015869776647,1.05886541456,2.44208337912,2.489015869776647,fcc,-4.45,188.0,3.52,-4.456643831977575,3.51666154801614,-0.006643831977575232,-0.003338451983859958
75.0,2.4758182297,6.52370633564,2.489015869776647,3.95228847438,3.85217436697,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4641079407343,3.51812063095055,-0.01410794073429944,-0.0018793690494498527
76.0,3.17734879577,5.33582991797,2.489015869776647,2.59061254845,5.06189524876,2.489015869776647,fcc,-4.45,188.0,3.52,-4.48867982000475,3.52137204571395,-0.038679820004749565,0.0013720457139498876
78.0,2.0233764707,5.98661301261,2.489015869776647,2.98942824959,5.76265840156,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5010383606471,3.52111662158697,-0.05103836064709988,0.0011166215869700125
0.0,0.813014659236,5.94584481377,2.489015869776647,1.41589934907,3.21865117386,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452516141981875,3.51818880974721,-0.0025161419818751085,-0.0018111902527899737
1.0,0.921366077365,6.79859687608,2.489015869776647,2.47357868017,5.46884134964,2.489015869776647,fcc,-4.45,188.0,3.52,-4.470883238213625,3.51811146861829,-0.020883238213625255,-0.001888531381709857
5.0,3.67418250826,5.32218033345,2.489015869776647,1.64044505353,4.672278659,2.489015869776647,fcc,-4.45,188.0,3.52,-4.481719412588725,3.5211395124659,-0.031719412588724794,0.001139512465900161
7.0,0.121604296426,2.1545847828,2.489015869776647,3.9665505237,2.9154745987,2.489015869776647,fcc,-4.45,188.0,3.52,-4.81338079879635,5.78120428478388,-0.3633807987963502,2.26120428478388
8.0,1.49752696489,6.68572131184,2.489015869776647,1.90789719019,3.02713551693,2.489015869776647,fcc,-4.45,188.0,3.52,-4.455129957634075,3.51805025307531,-0.005129957634074422,-0.0019497469246898547
9.0,1.92648159576,3.20457540182,2.489015869776647,2.18535221839,2.11120752783,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4502634570377,3.51948289937731,-0.00026345703769958817,-0.0005171006226900587
10.0,1.13917538829,6.91168245875,2.489015869776647,1.50959757564,5.36356456729,2.489015869776647,fcc,-4.45,188.0,3.52,-4.47409680662475,3.51767312972284,-0.024096806624750222,-0.0023268702771601646
13.0,1.94124754118,3.15566209026,2.489015869776647,2.33175790887,2.7340274818,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45008541972755,3.51964459106848,-8.54197275499402e-05,-0.0003554089315200848
14.0,2.71956862764,5.69506103475,2.489015869776647,2.64103917512,2.91550846907,2.489015869776647,fcc,-4.45,188.0,3.52,-4.456545775627075,3.51809212018101,-0.00654577562707459,-0.0019078798189902102
15.0,1.26274429553,5.63760134791,2.489015869776647,2.96810738286,5.29249270661,2.489015869776647,fcc,-4.45,188.0,3.52,-4.469984762626025,3.52021142075077,-0.019984762626024555,0.00021142075076996392
