sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
0,2.60848945913,6.08180282111,2.489015869776647,3.51310494053,6.72432403198,2.489015869776647,fcc,-4.45,188.0,3.52,-23673979.898298275,2.44606565203334,-23673975.448298275,-1.0739343479666599
1,1.31869685772,5.85479151232,2.489015869776647,1.50554101867,6.02427093974,2.489015869776647,fcc,-4.45,188.0,3.52,-911034.2370374025,3.52274616011706,-911029.7870374025,0.0027461601170601924
3,2.50805348383,2.05795717932,2.489015869776647,2.96254295081,3.32320837135,2.489015869776647,fcc,-4.45,188.0,3.52,-3880.75046338785,4.645019146001,-3876.30046338785,1.1250191460010002
4,0.166793925237,2.7543774047,2.489015869776647,1.38330294726,4.5153212505,2.489015869776647,fcc,-4.45,188.0,3.52,-5.189336797754425,5.74147128283997,-0.739336797754425,2.22147128283997
5,1.59560494778,6.81011884606,2.489015869776647,1.47549843932,4.83064104345,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4713234769506,3.51835225478218,-0.021323476950599662,-0.0016477452178200735
6,3.72661973981,3.32673324199,2.489015869776647,3.13037621333,4.46515160004,2.489015869776647,fcc,-4.45,188.0,3.52,-114028.93871048275,3.5369071559319,-114024.48871048275,0.016907155931900064
7,3.60855878548,2.34630074509,2.489015869776647,3.27727271715,2.88354203605,2.489015869776647,fcc,-4.45,188.0,3.52,-2257.4479523122973,4.65484462973554,-2252.9979523122975,1.13484462973554
9,3.87197379505,4.93470631793,2.489015869776647,3.99399500622,3.81483786656,2.489015869776647,fcc,-4.45,188.0,3.52,-4.463864030284525,3.52090374270724,-0.013864030284524986,0.0009037427072398074
10,0.667727255427,4.73788301143,2.489015869776647,3.07625638844,6.04811125587,2.489015869776647,fcc,-4.45,188.0,3.52,-833388.95644241,3.54189689815873,-833384.50644241,0.02189689815872997
11,0.0754802659645,2.07812396104,2.489015869776647,1.13949015403,6.72938363987,2.489015869776647,fcc,-4.45,188.0,3.52,-4.838844902737825,5.9163108453988,-0.3888449027378247,2.3963108453988
