sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000000,3.3766176971234603,3.4875008184344773,2.489015869776647,2.787938912096834,2.4915981189080516,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45098955424895,3.51959702049978,-0.0009895542489495313,-0.00040297950021983553
00_000001,1.1245168931855085,2.3549116064260267,2.489015869776647,3.9216931845686336,2.841628891474366,2.489015869776647,fcc,-4.45,188.0,3.52,-95.7027486574995,4.66134383571215,-91.2527486574995,1.1413438357121497
00_000002,0.42813742310866254,5.182115260531622,2.489015869776647,2.4439061747919832,5.9517221363504635,2.489015869776647,fcc,-4.45,188.0,3.52,-495432.736603885,3.52150286369066,-495428.286603885,0.0015028636906597725
00_000003,2.7780309558357312,3.384061355822351,2.489015869776647,3.198910958013861,5.437374644990285,2.489015869776647,fcc,-4.45,188.0,3.52,-485381.008009915,2.47897329562084,-485376.558009915,-1.04102670437916
00_000004,1.651940497042932,5.515727535679331,2.489015869776647,3.3982763619672465,3.896021343462312,2.489015869776647,fcc,-4.45,188.0,3.52,-4.457602025449675,3.51951720742651,-0.007602025449674699,-0.00048279257348982085
00_000005,0.2325030866520476,4.376681607093047,2.489015869776647,1.3598494396106977,4.554825655599039,2.489015869776647,fcc,-4.45,188.0,3.52,-4.591908414253075,9.81009995409439,-0.14190841425307443,6.290099954094391
00_000006,2.5894972628685236,3.1564661413486474,2.489015869776647,1.6658333916268937,2.475421166261042,2.489015869776647,fcc,-4.45,188.0,3.52,-4.449987694913225,3.51962747956149,1.2305086775299401e-05,-0.0003725204385101044
00_000007,3.030149340141103,3.026541212205979,2.489015869776647,1.6000227925080845,3.4254469137473977,2.489015869776647,fcc,-4.45,188.0,3.52,-6183.408583588775,4.63166745258223,-6178.958583588776,1.1116674525822297
00_000008,2.7832301908873407,5.850994306949728,2.489015869776647,1.7226979657029085,5.276889296474339,2.489015869776647,fcc,-4.45,188.0,3.52,-4.495351620875975,3.52033148349718,-0.045351620875974774,0.0003314834971801517
00_000009,2.043664823788504,4.6940759687332045,2.489015869776647,3.1522576043598973,3.1524768134069814,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45370284175465,3.51950410113259,-0.003702841754649633,-0.0004958988674101938
00_000010,2.021495326932579,4.822606606696993,2.489015869776647,1.5331704286790793,2.209331380054361,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45306097230315,3.51807827919401,-0.0030609723031496117,-0.001921720805989846
00_000011,0.47608166052833,3.4100718432798103,2.489015869776647,1.8153270834660198,6.678928710499886,2.489015869776647,fcc,-4.45,188.0,3.52,-350675.863027575,2.24444226683502,-350671.413027575,-1.27555773316498
00_000012,3.7999832027542486,6.229630000733219,2.489015869776647,3.110606958502334,5.878179255903922,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5602820354885,3.52108572552532,-0.11028203548849991,0.001085725525320047
00_000013,3.630827708432422,6.001257590925379,2.489015869776647,2.863884859147367,3.5586803992878266,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46452106692645,3.51811621903015,-0.0145210669264495,-0.0018837809698499797
00_000014,0.765586924619804,4.4743808637568785,2.489015869776647,3.5490789530620375,2.262804811259829,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450909995030025,3.51930469717458,-0.0009099950300246462,-0.0006953028254201854
00_000015,1.62729002250548,2.8531369414515706,2.489015869776647,1.1080966157630574,6.825154202316854,2.489015869776647,fcc,-4.45,188.0,3.52,-1342950.8994799776,1.28883387924633,-1342946.4494799776,-2.23116612075367
00_000016,2.578343556662116,6.775911172675794,2.489015869776647,2.703728025652983,4.438675134966516,2.489015869776647,fcc,-4.45,188.0,3.52,-4.474801824423725,3.51686662725484,-0.024801824423724916,-0.0031333727451601234
00_000017,0.17450986268686958,4.986773028443228,2.489015869776647,2.5029850655772083,5.849726706122823,2.489015869776647,fcc,-4.45,188.0,3.52,-4.884536049594975,5.82818176740881,-0.4345360495949748,2.30818176740881
00_000018,2.5944535220699434,5.961373352793672,2.489015869776647,3.5974714997033717,4.659695930769512,2.489015869776647,fcc,-4.45,188.0,3.52,-4.47555415797225,3.51836893603615,-0.025554157972250024,-0.0016310639638499325
00_000019,2.358150285432424,2.345055886699159,2.489015869776647,2.477409938561166,6.706873111184439,2.489015869776647,fcc,-4.45,188.0,3.52,-1035409.6909398976,1.30899941807123,-1035405.2409398976,-2.21100058192877
00_000020,0.4335119281771044,3.6266227143725667,2.489015869776647,1.1566882528776508,3.891564779271478,2.489015869776647,fcc,-4.45,188.0,3.52,-4.942604739930825,5.73251686830843,-0.4926047399308251,2.21251686830843
00_000021,0.58478853956021,5.298540930673628,2.489015869776647,1.9331245397809425,5.375576705174049,2.489015869776647,fcc,-4.45,188.0,3.52,-4.595339384372425,5.607346119697,-0.14533938437242444,2.0873461196969996
00_000022,3.2198245764917006,6.176334701994671,2.489015869776647,2.78682618161744,3.166151288611962,2.489015869776647,fcc,-4.45,188.0,3.52,-4.460337720415225,3.51806148343513,-0.010337720415225071,-0.0019385165648699854
00_000023,0.1336986629170377,2.6794539029318356,2.489015869776647,2.236250866805955,3.480147721901285,2.489015869776647,fcc,-4.45,188.0,3.52,-4.83514744200205,10.8145789022138,-0.38514744200205,7.2945789022138
00_000024,0.39337755622231524,6.282046820406048,2.489015869776647,2.745699566815723,2.346671325095328,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451047608432925,3.51815418875164,-0.0010476084329251734,-0.0018458112483599187
00_000025,2.334348380064409,4.726937401510323,2.489015869776647,1.6795224694032909,4.655278200490465,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46701225894785,3.52117033946653,-0.01701225894785008,0.0011703394665301126
00_000026,0.587494178498053,2.689820985457159,2.489015869776647,3.5542322808667404,4.070790374413688,2.489015869776647,fcc,-4.45,188.0,3.52,-8.45878292422545,5.57264996920466,-4.008782924225449,2.05264996920466
00_000027,3.2896346561225145,6.806378384610878,2.489015869776647,3.319089934158139,5.346793346859441,2.489015869776647,fcc,-4.45,188.0,3.52,-4.517495804880925,3.51606746834053,-0.06749580488092466,-0.003932531659470051
00_000028,0.05594121593091196,2.2008150461666562,2.489015869776647,3.6796766965136722,3.343034217889256,2.489015869776647,fcc,-4.45,188.0,3.52,-4.646868071638125,5.6719166424157,-0.19686807163812503,2.1519166424156997
00_000029,3.3841651370833037,5.936798590917144,2.489015869776647,1.6096883652693266,3.0918093855580286,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4596807366564,3.5180701730699,-0.009680736656400235,-0.0019298269301000204
00_000030,0.8347794098224753,6.6642922603097094,2.489015869776647,1.8909520770811903,6.708417599593437,2.489015869776647,fcc,-4.45,188.0,3.52,-4.59111985742915,8.92201700736438,-0.14111985742914968,5.40201700736438
00_000031,2.8982414471394597,3.0577755303267944,2.489015869776647,1.025760320516016,3.468754872312168,2.489015869776647,fcc,-4.45,188.0,3.52,-6650.3686301004,4.3406515421809,-6645.9186301004,0.8206515421809004
00_000032,0.234165796080529,4.24862852779385,2.489015869776647,3.1282329156536304,2.607951609015564,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4502268145703,3.51905961905783,-0.00022681457029971597,-0.0009403809421701936
00_000033,2.760504219219076,2.4650041536209715,2.489015869776647,3.205575219966186,2.3719041444475795,2.489015869776647,fcc,-4.45,188.0,3.52,-4.448258954074625,3.52032359761425,0.001741045925375495,0.0003235976142499375
00_000034,0.6741508602362467,2.236330978084722,2.489015869776647,1.5296597640830991,5.937640659548053,2.489015869776647,fcc,-4.45,188.0,3.52,-11.103292095419976,10.7503749232139,-6.6532920954199755,7.230374923213901
00_000035,3.1811695373386306,6.197367888603814,2.489015869776647,2.6895470121845007,4.344646910506168,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4752319175145,3.51824781681428,-0.025231917514499713,-0.0017521831857201242
00_000036,1.7599393955998066,3.5995093603998383,2.489015869776647,1.1347881445557488,2.7432933781576256,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450794257317625,3.51953141335064,-0.0007942573176249468,-0.00046858664935989225
00_000037,0.37120747803863435,2.0026340141753405,2.489015869776647,3.1767938836563028,6.408003712740354,2.489015869776647,fcc,-4.45,188.0,3.52,-6.8353575692657,5.76735228467305,-2.3853575692656994,2.2473522846730503
00_000038,3.2390508209612903,2.3270356043642724,2.489015869776647,2.0070967105663664,6.85726343335542,2.489015869776647,fcc,-4.45,188.0,3.52,-1930764.49755157,0.882722504004716,-1930760.04755157,-2.637277495995284
