sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
1,2.3467412514751738,2.0660557151372907,2.489015869776647,2.451830420948025,1.7704573194765585,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5362628597691,3.50752525226113,216.000262998255,191.701653220355,66.9040096265007,199.80118981298835,12.149304888949999,1.8318371047067217,0.18330565955592354,0.1946809624914171,0.177873814553703,4.367926579808613e-05,0.00011520728780034517,0.007043811566200375,5.7598406800529744e-05,-0.08626285976909998,-0.012474747738870029,-44.99973700174499,40.70165322035501,-65.0959903734993,11.801189812988355,-88.85069511105,0.2318371047067216,0.03550565955592355,0.06918096249141709,0.026473814553702985,-0.008816320734201914,-0.019884792712199655,-0.12295618843379963,-1.7999424015931995
2,2.575352438473595,2.0126636585007676,2.489015869776647,2.5990011751035635,1.82144981442092,2.489015869776647,fcc,-4.45,188.0,3.52,-4.52271930344755,3.51256127613812,205.938643560192,189.029207866951,46.5727314613685,194.66568643136466,8.454717846620497,1.2967687746968295,0.1395736000994837,0.1480426683895536,0.132579353611833,2.9869833092151022e-05,7.91833326747593e-05,0.004918319598310461,1.2434497875801753e-14,-0.07271930344754995,-0.007438723861879826,-55.06135643980801,38.029207866951,-85.4272685386315,6.665686431364662,-92.5452821533795,-0.3032312253031706,-0.008226399900516296,0.0225426683895536,-0.018820646388166995,-0.008830130166907849,-0.01992081666732524,-0.12508168040168954,-1.7999999999999876
3,1.4977655791911118,1.6609186321353464,2.489015869776647,3.2122620581490953,1.447078590629629,2.489015869776647,fcc,-4.45,188.0,3.52,-4.550499772184,3.5040044629891,190.675527931718,183.912420874464,23.6002084536591,186.16678989354867,3.381553528626995,0.8617855040839686,0.15443458201985943,0.15955723245603132,0.1483332864203339,5.679922818354404e-05,0.00014570210769981884,0.0008431565584494649,0.48163251258701223,-0.10049977218399953,-0.01599553701089995,-70.324472068282,32.912420874464004,-108.39979154634091,-1.8332101064513324,-97.618446471373,-0.7382144959160315,0.006634582019859447,0.03405723245603132,-0.0030667135796661193,-0.008803200771816455,-0.01985429789230018,-0.12915684344155054,-1.3183674874129878
4,3.1631929001917296,1.9631771507230238,2.489015869776647,2.202910930836298,1.85572225234514,2.489015869776647,fcc,-4.45,188.0,3.52,-4.534297507010725,3.51634481680213,192.296361383754,180.882028938616,31.5567799996126,184.68680642032868,5.7071662225690005,0.9011068061406604,0.10540504949435534,0.11041339612939761,0.09853343584516598,2.0745012118174125e-05,5.5187324525363124e-05,0.003302728152730694,2.7559904437701732e-05,-0.08429750701072525,-0.003655183197869949,-68.703638616246,29.882028938616003,-100.4432200003874,-3.3131935796713208,-95.292833777431,-0.6988931938593397,-0.04239495050564465,-0.015086603870602386,-0.052866564154834025,-0.008839254987881826,-0.019944812675474637,-0.1266972718472693,-1.7999724400955623
5,1.1115498709703884,2.228237816577741,2.489015869776647,2.009479223481846,1.6797793165116313,2.489015869776647,fcc,-4.45,188.0,3.52,-4.51605500533455,3.50954495756257,205.523490268629,182.562468167399,61.5450678809892,190.21614220114233,11.480511050614993,1.6583060825078633,0.17048722773959693,0.18135774720673184,0.16411969957361405,3.336029570811485e-05,8.792170935034704e-05,0.007069508734580232,1.1422596818204505,-0.06605500533455011,-0.010455042437429896,-55.47650973137101,31.562468167399004,-70.4549321190108,2.2161422011423326,-89.519488949385,0.05830608250786318,0.022687227739596943,0.05585774720673184,0.012719699573614046,-0.008826639704291884,-0.019912078290649653,-0.12293049126541977,-0.6577403181795496
6,1.1733026624239906,2.1328643885461407,2.489015869776647,1.0285837728015144,1.8603528310534698,2.489015869776647,fcc,-4.45,188.0,3.52,-4.521007643596525,3.51940112952499,195.14063513283,183.069152101732,31.6227367439212,187.09297977876466,6.035741515549006,0.8559042466702067,0.09607784928009083,0.1008703616534127,0.08916055109293917,1.1427467188895811e-05,3.0445817300162048e-05,0.003916109423835579,1.5234004975717141e-05,-0.07100764359652523,-0.0005988704750099494,-65.85936486717,32.06915210173199,-100.3772632560788,-0.9070202212353422,-94.964258484451,-0.7440957533297934,-0.051722150719909155,-0.024629638346587296,-0.06223944890706083,-0.008848572532811103,-0.01996955418269984,-0.12608389057616443,-1.7999847659950243
7,0.7211518925147058,2.220774381744646,2.489015869776647,2.577397430212046,1.770262155162295,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4791057358207,3.5167925529155,196.104653537288,183.538467656105,32.8792411157311,187.727196283166,6.283092940591487,0.8923667004669369,0.10247908747657201,0.10789061303169674,0.09537360488048052,1.2553989457713576e-05,3.3340035375140076e-05,0.004080105152289626,0.0028895602672500686,-0.029105735820699863,-0.003207447084499826,-64.89534646271201,32.53846765610501,-99.1207588842689,-0.27280371683400517,-94.71690705940851,-0.7076332995330632,-0.04532091252342797,-0.01760938696830326,-0.056026395119519484,-0.008847446010542286,-0.01996665996462486,-0.12591989484771038,-1.79711043973275
8,1.6821216483775916,2.524056458209502,2.489015869776647,1.9147029468317458,2.0616405386954715,2.489015869776647,fcc,-4.45,188.0,3.52,-4.506619831052375,3.51629696454992,217.48661324421,175.894088020518,92.59556677567,189.75826309508201,20.79626261184599,1.9466302848240957,0.14981328729435212,0.16103181681650952,0.14319156651345033,-3.519421965374985e-05,-9.458099022463529e-05,0.01740140597008999,-4.7036708362035995e-05,-0.05661983105237489,-0.0037030354500799945,-43.51338675579001,24.894088020518012,-39.404433224330006,1.7582630950820146,-80.20373738815401,0.34663028482409564,0.0020132872943521285,0.03553181681650952,-0.008208433486549677,-0.00889519421965375,-0.020094580990224636,-0.11259859402991002,-1.800047036708362
9,1.9732195635341598,1.9695071204774788,2.489015869776647,5.118270731142733,1.6314083092312346,2.489015869776647,fcc,-4.45,188.0,3.52,-4.532050462601375,3.50027572034192,229.004725349975,208.61952950521,60.4015585149124,215.41459478679835,10.19259792238249,1.7946038280450693,0.2037060070483353,0.21516819671663917,0.19887227535904978,6.85157031484401e-05,0.00017874933064998544,0.0048960042131751536,0.004950936166324915,-0.08205046260137472,-0.01972427965807988,-31.99527465002501,57.61952950521001,-71.59844148508759,27.414594786798347,-90.80740207761751,0.19460382804506926,0.055906007048335316,0.08966819671663917,0.04747227535904977,-0.00879148429685156,-0.019821250669350015,-0.12510399578682485,-1.7950490638336751
10,2.9739342775801862,1.749945399086505,2.489015869776647,1.0863749499101552,1.5917646362620583,2.489015869776647,fcc,-4.45,188.0,3.52,-4.65466714748905,3.50376736205247,195.461518659272,183.686947450279,37.9857416277086,187.61180451994335,5.887285604496498,1.253407893699375,0.1745047934771014,0.18298343777016648,0.16834468871610142,6.537105638862272e-05,0.00017013874500015902,0.0021392409127853895,0.7537740451080377,-0.20466714748905002,-0.016232637947529938,-65.538481340728,32.68694745027901,-94.01425837229141,-0.38819548005665183,-95.1127143955035,-0.346592106300625,0.02670479347710142,0.057483437770166484,0.016944688716101414,-0.008794628943611377,-0.01982986125499984,-0.12786075908721461,-1.0462259548919624
11,4.646368576956809,1.7411461443842957,2.489015869776647,3.8159968118322256,1.8761535515295304,2.489015869776647,fcc,-4.45,188.0,3.52,-22.8103863416758,8.24877242873163,-13691801.7071085,7379493.29663951,-123373.866796224,355728.2953901738,-10535647.501874005,410.51443640963066,0.0010942764751510402,0.4432792193945918,0.5676224444043247,1.7659533614632605,10.533258077590101,8.077348765311854e-05,0.0007140883479266336,-18.360386341675802,4.728772428731631,-13692062.7071085,7379342.29663951,-123505.866796224,355540.2953901738,-10535748.501874005,408.91443640963064,-0.14670572352484895,0.3177792193945918,0.41622244440432477,1.7570933614632605,10.513258077590102,-0.12991922651234689,-1.7992859116520734
12,2.0526389884206533,2.037970499785079,2.489015869776647,2.1874172608867792,1.8179679563163094,2.489015869776647,fcc,-4.45,188.0,3.52,-4.51850314989355,3.51376428143342,193.169260794953,177.431892627653,43.033953063453,182.677682016753,7.868684083649995,1.194835547983871,0.13036990611582805,0.13813189889771132,0.12323673543194974,2.5863881176531634e-05,6.86315109250657e-05,0.004655178863624876,3.429357404982625e-05,-0.06850314989354978,-0.006235718566580228,-67.830739205047,26.431892627653014,-88.966046936547,-5.32231798324699,-93.13131591635,-0.40516445201612905,-0.017430093884171938,0.012631898897711324,-0.028163264568050267,-0.008834136118823468,-0.019931368489074935,-0.12534482113637513,-1.7999657064259502
13,2.678763629564223,2.367418513489839,2.489015869776647,4.240045916295257,1.913111694272465,2.489015869776647,fcc,-4.45,188.0,3.52,-4.51145763754415,3.50785530410246,233.423311687356,177.173703572479,136.100600588641,195.92357294410468,28.124804057438496,3.1260994501060395,0.23652275062408742,0.24964938269367826,0.23671232626315256,-2.521576525575918e-06,-7.561181550208573e-06,0.020744105192290085,2.081546278053325,-0.06145763754414979,-0.012144695897540192,-27.576688312643995,26.173703572479013,4.100600588640987,7.923572944104677,-72.8751959425615,1.5260994501060394,0.08872275062408744,0.12414938269367826,0.08531232626315255,-0.008862521576525575,-0.02000756118155021,-0.10925589480770992,0.2815462780533251
14,2.4493970890594126,1.987313543431267,2.489015869776647,2.037611508380225,1.8560517149928446,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5227363108338,3.51680416936989,196.013388837394,185.038893522508,30.1118099055325,188.69705862747,5.4872476574429925,0.8558374941046054,0.10057496848193222,0.10514683484996777,0.09377216821618906,1.8472534676366535e-05,4.9159952300037446e-05,0.003230339824294326,2.4555558511885067e-05,-0.0727363108337995,-0.003195830630109864,-64.98661116260601,34.038893522508005,-101.8881900944675,0.6970586274699997,-95.51275234255701,-0.7441625058953947,-0.04722503151806777,-0.02035316515003223,-0.05762783178381095,-0.008841527465323634,-0.019950840047699963,-0.12676966017570568,-1.7999754444414882
15,2.082823511620071,2.2546352171941915,2.489015869776647,0.541410299482218,1.8169771209829397,2.489015869776647,fcc,-4.45,188.0,3.52,-4.694275051376925,3.51048706506647,211.515032535162,174.273545164298,95.437938356647,186.68737428791937,18.62074368543199,2.3851441730960232,0.20537366392059933,0.21799907964629803,0.2020906659824517,2.561574016004054e-05,6.750601535010503e-05,0.01249725376248989,6.750601533767053e-05,-0.24427505137692496,-0.009512934933530115,-49.48496746483801,23.273545164298014,-36.562061643353005,-1.3126257120806315,-82.37925631456801,0.7851441730960231,0.057573663920599344,0.09249907964629803,0.0506906659824517,-0.00883438425983996,-0.019932493984649895,-0.11750274623751011,-1.7999324939846624
16,2.088105854889958,2.26199944259936,2.489015869776647,1.8943166637227333,1.9481118120758654,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5224069790004,3.5147626374321,204.292469894267,175.972532805817,69.8202213388624,185.4125118353003,14.159968544224995,1.6827449643327554,0.14859650045422326,0.15908162137047793,0.1418426007575692,3.584050727125065e-06,9.222949125309299e-06,0.010189943178665395,4.7499160746866664e-06,-0.07240697900039983,-0.005237362567899861,-56.707530105733014,24.972532805816996,-62.179778661137604,-2.5874881646996926,-86.840031455775,0.08274496433275536,0.0007965004542232756,0.03358162137047793,-0.00955739924243082,-0.008856415949272875,-0.01999077705087469,-0.11981005682133461,-1.7999952500839254
